Title,Year,Letterboxd URI,Rating,Liked,Last watched date,Times watched,tmdb_url,overview,genres,runtime,vote_average,poster_url,media_type,director,actors,characters,origin_country,original_language,popularity,production_companies,production_countries,spoken_languages
BlackBerry,2023,https://boxd.it/CoVK,4.0,Yes,2025-08-01,1,https://www.themoviedb.org/movie/1016084,Two mismatched entrepreneurs – egghead innovator Mike Lazaridis and cut-throat businessman Jim Balsillie – joined forces in an endeavour that was to become a worldwide hit in little more than a decade. The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"['Comedy:https://www.themoviedb.org/genre/35', 'Drama:https://www.themoviedb.org/genre/18']",120,7.138,https://image.tmdb.org/t/p/original/ePWKQzOnwabMcJsWYWIiy5p1Ofr.jpg,movie,['Matt Johnson:http://www.themoviedb.org/person/1144092'],"['Jay Baruchel:http://www.themoviedb.org/person/449', 'Glenn Howerton:http://www.themoviedb.org/person/77870', 'Matt Johnson:http://www.themoviedb.org/person/1144092', 'Michael Ironside:http://www.themoviedb.org/person/11086', 'Cary Elwes:http://www.themoviedb.org/person/2130', 'Saul Rubinek:http://www.themoviedb.org/person/3712', 'Martin Donovan:http://www.themoviedb.org/person/42993', 'Rich Sommer:http://www.themoviedb.org/person/10581', 'Michelle Giroux:http://www.themoviedb.org/person/1292576', 'SungWon Cho:http://www.themoviedb.org/person/1942233']","['Mike Lazaridis', 'Jim Balsillie', 'Doug Fregin', 'Charles Purdy', 'Carl Yankowski', 'John Woodman', 'Rick Brock', 'Paul Stanos', 'Dara Frankel', 'Ritchie Cheung']",['CA'],en,3.4657,"['Zapruder Films:https://www.themoviedb.org/company/72063:CA', 'Rhombus Media:https://www.themoviedb.org/company/164:CA', 'IPR.VC:https://www.themoviedb.org/company/142269:FI', 'XYZ Films:https://www.themoviedb.org/company/12142:US']","['Canada:CA', 'Finland:FI', 'United States of America:US']",['English:en']
Challengers,2024,https://boxd.it/zld0,3.0,No,2025-07-29,1,https://www.themoviedb.org/movie/937287,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.","['Drama:https://www.themoviedb.org/genre/18', 'Romance:https://www.themoviedb.org/genre/10749']",132,7.0,https://image.tmdb.org/t/p/original/H6vke7zGiuLsz4v4RPeReb9rsv.jpg,movie,['Luca Guadagnino:http://www.themoviedb.org/person/78160'],"['Zendaya:http://www.themoviedb.org/person/505710', 'Mike Faist:http://www.themoviedb.org/person/1423520', ""Josh O'Connor:http://www.themoviedb.org/person/1206334"", 'Darnell Appling:http://www.themoviedb.org/person/3352136', 'Bryan Doo:http://www.themoviedb.org/person/4643864', 'Shane T Harris:http://www.themoviedb.org/person/4643870', 'Nada Despotovich:http://www.themoviedb.org/person/20975', 'Joan Mcshane:http://www.themoviedb.org/person/4687627', 'Chris Fowler:http://www.themoviedb.org/person/1227356', 'Mary Joe Fernández:http://www.themoviedb.org/person/4538305']","['Tashi Donaldson', 'Art Donaldson', 'Patrick Zweig', 'Umpire (New Rochelle Final)', ""Art's Physiotherapist"", ""Art's Security Guard"", ""Tashi's Mother"", 'Line Judge (New Rochelle Final)', 'TV Sports Commentator (Atlanta 2019)', 'TV Sports Commentator (Atlanta 2019)']",['US'],en,11.8418,"['Pascal Pictures:https://www.themoviedb.org/company/84041:US', 'Why Are You Acting? Productions:https://www.themoviedb.org/company/226216:US', 'Frenesy Film:https://www.themoviedb.org/company/46344:IT', 'Amazon MGM Studios:https://www.themoviedb.org/company/210099:US']","['Italy:IT', 'United States of America:US']","['English:en', 'Romanian:ro']"
Okja,2017,https://boxd.it/dvXe,4.0,Yes,2025-07-26,2,https://www.themoviedb.org/movie/387426,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.","['Adventure:https://www.themoviedb.org/genre/12', 'Drama:https://www.themoviedb.org/genre/18', 'Science Fiction:https://www.themoviedb.org/genre/878']",122,7.351,https://image.tmdb.org/t/p/original/lHBYG2NcBMW7UpFL4rSCpsgvz4m.jpg,movie,['Bong Joon Ho:http://www.themoviedb.org/person/21684'],"['Ahn Seo-hyun:http://www.themoviedb.org/person/1304602', 'Tilda Swinton:http://www.themoviedb.org/person/3063', 'Paul Dano:http://www.themoviedb.org/person/17142', 'Steven Yeun:http://www.themoviedb.org/person/215055', 'Jake Gyllenhaal:http://www.themoviedb.org/person/131', 'Giancarlo Esposito:http://www.themoviedb.org/person/4808', 'Byun Hee-bong:http://www.themoviedb.org/person/116180', 'Lily Collins:http://www.themoviedb.org/person/112561', 'Daniel Henshall:http://www.themoviedb.org/person/213202', 'Devon Bostick:http://www.themoviedb.org/person/90498']","['Mija', 'Lucy Mirando / Nancy Mirando', 'Jay', 'K', 'Johnny Wilcox', 'Frank Dawson', 'Hee-bong', 'Red', 'Blond', 'Silver']",['US'],en,2.9376,"['Kate Street Picture Company:https://www.themoviedb.org/company/81024:US', 'Plan B Entertainment:https://www.themoviedb.org/company/81:US', 'Lewis Pictures:https://www.themoviedb.org/company/62312:KR']","['South Korea:KR', 'United States of America:US']","['English:en', 'Korean:ko', 'Spanish:es']"
Dominion,2018,https://boxd.it/gXqy,4.0,Yes,2025-07-19,1,https://www.themoviedb.org/movie/472796,"Exposing the dark underbelly of modern animal agriculture through drones, hidden & handheld cameras, the feature-length film explores the morality and validity of our dominion over the animal kingdom.",['Documentary:https://www.themoviedb.org/genre/99'],120,8.449,https://image.tmdb.org/t/p/original/mzqwEuYSPQ7Kj6ovg016KclS0Sw.jpg,movie,['Chris Delforce:http://www.themoviedb.org/person/2013572'],"['Rooney Mara:http://www.themoviedb.org/person/108916', 'Joaquin Phoenix:http://www.themoviedb.org/person/73421', 'Sia:http://www.themoviedb.org/person/1136517', 'Sadie Sink:http://www.themoviedb.org/person/1590797', 'Kat Von D:http://www.themoviedb.org/person/132833', 'Chris Delforce:http://www.themoviedb.org/person/2013572']","['Narrator (voice)', 'Narrator (voice)', 'Narrator (voice)', 'Narrator (voice)', 'Narrator (voice)', 'Narrator (voice)']","['AU', 'US']",en,0.5683,['Aussie Farms:https://www.themoviedb.org/company/103661:'],['Australia:AU'],"['English:en', 'Portuguese:pt']"
Superman,2025,https://boxd.it/E9IU,3.5,Yes,2025-07-16,1,https://www.themoviedb.org/movie/1061474,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.","['Science Fiction:https://www.themoviedb.org/genre/878', 'Adventure:https://www.themoviedb.org/genre/12', 'Action:https://www.themoviedb.org/genre/28']",130,7.623,https://image.tmdb.org/t/p/original/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,movie,['James Gunn:http://www.themoviedb.org/person/15218'],"['David Corenswet:http://www.themoviedb.org/person/1785590', 'Rachel Brosnahan:http://www.themoviedb.org/person/993774', 'Nicholas Hoult:http://www.themoviedb.org/person/3292', 'Edi Gathegi:http://www.themoviedb.org/person/39391', 'Nathan Fillion:http://www.themoviedb.org/person/51797', 'Isabela Merced:http://www.themoviedb.org/person/1428070', 'María Gabriela de Faría:http://www.themoviedb.org/person/1601451', 'Skyler Gisondo:http://www.themoviedb.org/person/61263', 'Alan Tudyk:http://www.themoviedb.org/person/21088', 'Grace Chan:http://www.themoviedb.org/person/5441666']","['Superman', 'Lois Lane', 'Lex Luthor', 'Mr. Terrific', 'Guy Gardner', 'Hawkgirl', 'The Engineer', 'Jimmy Olsen', 'Gary', 'Superman Robot #12 (voice)']",['US'],en,241.4134,"['DC Studios:https://www.themoviedb.org/company/184898:US', 'Troll Court Entertainment:https://www.themoviedb.org/company/94218:US', 'The Safran Company:https://www.themoviedb.org/company/11565:US', 'Domain Entertainment:https://www.themoviedb.org/company/216687:US']",['United States of America:US'],['English:en']
The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3.0,Yes,2025-07-04,1,https://www.themoviedb.org/movie/131631,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"['Science Fiction:https://www.themoviedb.org/genre/878', 'Adventure:https://www.themoviedb.org/genre/12', 'Thriller:https://www.themoviedb.org/genre/53']",123,6.815,https://image.tmdb.org/t/p/original/2hTPkBiXoMmrdtYgHtB9WU5dg80.jpg,movie,['Francis Lawrence:http://www.themoviedb.org/person/10943'],"['Jennifer Lawrence:http://www.themoviedb.org/person/72129', 'Josh Hutcherson:http://www.themoviedb.org/person/27972', 'Liam Hemsworth:http://www.themoviedb.org/person/96066', 'Woody Harrelson:http://www.themoviedb.org/person/57755', 'Elizabeth Banks:http://www.themoviedb.org/person/9281', 'Julianne Moore:http://www.themoviedb.org/person/1231', 'Philip Seymour Hoffman:http://www.themoviedb.org/person/1233', 'Jeffrey Wright:http://www.themoviedb.org/person/2954', 'Stanley Tucci:http://www.themoviedb.org/person/2283', 'Donald Sutherland:http://www.themoviedb.org/person/55636']","['Katniss Everdeen', 'Peeta Mellark', 'Gale Hawthorne', 'Haymitch Abernathy', 'Effie Trinket', 'President Alma Coin', 'Plutarch Heavensbee', 'Beetee', 'Caesar Flickerman', 'President Coriolanus Snow']",['US'],en,10.648,"['Lionsgate:https://www.themoviedb.org/company/1632:US', 'Color Force:https://www.themoviedb.org/company/5420:US']",['United States of America:US'],['English:en']
The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4.0,Yes,2025-06-18,1,https://www.themoviedb.org/movie/101299,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.","['Adventure:https://www.themoviedb.org/genre/12', 'Action:https://www.themoviedb.org/genre/28', 'Science Fiction:https://www.themoviedb.org/genre/878']",146,7.426,https://image.tmdb.org/t/p/original/qdXXEFGuLLfMWa1DGEkWFUo8Zwd.jpg,movie,['Francis Lawrence:http://www.themoviedb.org/person/10943'],"['Jennifer Lawrence:http://www.themoviedb.org/person/72129', 'Josh Hutcherson:http://www.themoviedb.org/person/27972', 'Liam Hemsworth:http://www.themoviedb.org/person/96066', 'Woody Harrelson:http://www.themoviedb.org/person/57755', 'Elizabeth Banks:http://www.themoviedb.org/person/9281', 'Donald Sutherland:http://www.themoviedb.org/person/55636', 'Lenny Kravitz:http://www.themoviedb.org/person/77069', 'Philip Seymour Hoffman:http://www.themoviedb.org/person/1233', 'Jeffrey Wright:http://www.themoviedb.org/person/2954', 'Stanley Tucci:http://www.themoviedb.org/person/2283']","['Katniss Everdeen', 'Peeta Mellark', 'Gale Hawthorne', 'Haymitch Abernathy', 'Effie Trinket', 'President Coriolanus Snow', 'Cinna', 'Plutarch Heavensbee', 'Beetee', 'Caesar Flickerman']",['US'],en,8.6402,"['Lionsgate:https://www.themoviedb.org/company/1632:US', 'Color Force:https://www.themoviedb.org/company/5420:US']",['United States of America:US'],['English:en']
Ballerina,2025,https://boxd.it/jKqG,4.0,Yes,2025-06-15,1,https://www.themoviedb.org/movie/541671,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","['Action:https://www.themoviedb.org/genre/28', 'Thriller:https://www.themoviedb.org/genre/53', 'Crime:https://www.themoviedb.org/genre/80']",125,7.5,https://image.tmdb.org/t/p/original/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg,movie,['Len Wiseman:http://www.themoviedb.org/person/3950'],"['Ana de Armas:http://www.themoviedb.org/person/224513', 'Keanu Reeves:http://www.themoviedb.org/person/6384', 'Ian McShane:http://www.themoviedb.org/person/6972', 'Anjelica Huston:http://www.themoviedb.org/person/5657', 'Gabriel Byrne:http://www.themoviedb.org/person/5168', 'Catalina Sandino Moreno:http://www.themoviedb.org/person/5887', 'Ava McCarthy:http://www.themoviedb.org/person/4872540', 'Juliet Doherty:http://www.themoviedb.org/person/2052200', 'Norman Reedus:http://www.themoviedb.org/person/4886', 'Lance Reddick:http://www.themoviedb.org/person/129101']","['Eve', 'John Wick', 'Winston', 'The Director', 'The Chancellor', 'Lena', 'Ella', 'Tatiana', 'Daniel Pine', 'Charon']",['US'],en,169.1556,"['Thunder Road:https://www.themoviedb.org/company/3528:US', '87Eleven:https://www.themoviedb.org/company/23008:US', 'Lionsgate:https://www.themoviedb.org/company/1632:US']",['United States of America:US'],"['English:en', 'German:de', 'Russian:ru', 'Spanish:es']"
The Hunger Games,2012,https://boxd.it/2uds,2.5,No,2025-06-13,1,https://www.themoviedb.org/movie/70160,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.","['Science Fiction:https://www.themoviedb.org/genre/878', 'Adventure:https://www.themoviedb.org/genre/12', 'Action:https://www.themoviedb.org/genre/28']",142,7.217,https://image.tmdb.org/t/p/original/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,movie,['Gary Ross:http://www.themoviedb.org/person/23964'],"['Jennifer Lawrence:http://www.themoviedb.org/person/72129', 'Josh Hutcherson:http://www.themoviedb.org/person/27972', 'Liam Hemsworth:http://www.themoviedb.org/person/96066', 'Woody Harrelson:http://www.themoviedb.org/person/57755', 'Elizabeth Banks:http://www.themoviedb.org/person/9281', 'Lenny Kravitz:http://www.themoviedb.org/person/77069', 'Stanley Tucci:http://www.themoviedb.org/person/2283', 'Donald Sutherland:http://www.themoviedb.org/person/55636', 'Wes Bentley:http://www.themoviedb.org/person/8210', 'Toby Jones:http://www.themoviedb.org/person/13014']","['Katniss Everdeen', 'Peeta Mellark', 'Gale Hawthorne', 'Haymitch Abernathy', 'Effie Trinket', 'Cinna', 'Caesar Flickerman', 'President Coriolanus Snow', 'Seneca Crane', 'Claudius Templesmith']",['US'],en,6.3198,"['Lionsgate:https://www.themoviedb.org/company/1632:US', 'Color Force:https://www.themoviedb.org/company/5420:US']",['United States of America:US'],['English:en']
Soldier Monika,2024,https://boxd.it/LhRk,3.5,No,2025-05-09,1,https://www.themoviedb.org/movie/1243940,"Monika Donner is a transsexual elite soldier, a front figure for gender rights and an author celebrated by the political right-wing. She, who was once a he, quickly becomes a lone fighter between the ideological fronts.",['Drama:https://www.themoviedb.org/genre/18'],109,0.0,https://image.tmdb.org/t/p/original/1htU1EPGq5HSrAeBNd1UqTeIeWI.jpg,movie,['Paul Poet:http://www.themoviedb.org/person/1263424'],"['Monika Donner:http://www.themoviedb.org/person/4532088', 'Philipp Hochmair:http://www.themoviedb.org/person/7824', 'Maria Hofstätter:http://www.themoviedb.org/person/40525', 'Sibylle Rauch:http://www.themoviedb.org/person/4532089', 'Michael Thomas:http://www.themoviedb.org/person/40522', 'Neil Young:http://www.themoviedb.org/person/2309448', 'Sarah Zaharanski:http://www.themoviedb.org/person/1818263', 'Paul Poet:http://www.themoviedb.org/person/1263424', 'Günther Groissböck:http://www.themoviedb.org/person/1569381', 'Roland Düringer:http://www.themoviedb.org/person/78240']","['Soldier Monika', 'The Other Monika', 'The Mother', 'Hotel Anny', 'El Kapitano', 'The Anglo-Saxon Axis of Evil', 'The First Wife', 'Death Squad Leader', 'The Opera Singer', 'The Father / The False God']",['AT'],de,0.07,"['FreibeuterFilm:https://www.themoviedb.org/company/81956:AT', 'Österreichisches Bundeskanzlerant, Film:https://www.themoviedb.org/company/220643:', 'ORF:https://www.themoviedb.org/company/3391:AT', 'Cine Art Steiermark:https://www.themoviedb.org/company/220644:', 'Land Steiermark, department 9 - Culture, Europe, Ext. Relations:https://www.themoviedb.org/company/117440:', 'FISA:https://www.themoviedb.org/company/62704:AT', 'Land Niederösterreich:https://www.themoviedb.org/company/39826:AT']",['Austria:AT'],"['English:en', 'German:de']"
