,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ex:country,-0.0875072,0.22392811,-0.10609183,-0.31413594,0.24953088,0.06744796,0.2702391,0.28468564,-0.2557947,-0.267451,0.037084013,0.01809219,-0.1020101,-0.18091792,0.0885232,0.11561467,0.119260244,-0.009669793,-0.28369844,0.0076835505,0.045019057,0.19590981,0.037171315,-0.056774482,-0.22326641,-0.51728314,0.07220335,0.11652963,0.026540274,-0.095201254,0.22026579,0.13962121,-0.14042622,0.14588574,0.03647307,-0.07135199,-0.03654278,-0.20400438,0.14163136,-0.24726892,0.26232034,0.33400413,-0.063324645,-0.22715724,0.22210062,0.14115776,-0.25284284,0.012054531,-0.15269521,0.23355195
ex:lastWatched,0.057143692,0.026387213,0.12792923,0.39874628,-0.046472047,-0.45182773,0.1188416,0.16513169,0.068172745,0.07803696,-0.12822229,0.027025055,0.13094936,-0.2645732,-0.15997918,-0.20828529,-0.054882124,0.067061454,0.050290108,0.009240855,0.14490645,0.0015403796,-0.08179811,-0.2024144,0.14698009,-0.056249626,-0.13075483,-0.099685974,-0.3883301,-0.13333851,0.16392417,0.27245694,0.091056846,0.24314916,0.018167408,0.19819239,0.037206113,0.29134288,-0.059164286,0.19171135,-0.025353398,-0.18454285,0.005774036,0.02711817,0.115609765,-0.17251042,0.18782337,0.21034198,0.033831142,0.2818683
ex:liked,-0.20504269,-0.17459898,-0.011060981,0.27627987,0.13728943,-0.036346372,0.1407495,0.04672462,-0.22966154,0.32508534,0.062163625,0.34153882,0.120174274,0.04345589,-0.06453962,-0.25451,-0.21297252,-0.027282348,0.25772336,-0.40919894,-0.057296626,0.041328058,0.04771487,-0.2816118,0.045331,0.16183369,0.1899812,-0.04872276,-0.30834103,-0.01580882,0.25478536,0.038926005,-0.013373587,0.3703387,0.10769631,0.0058029164,0.30257127,0.021834219,-0.2262421,0.21695603,-0.057753686,0.038492125,0.25521106,-0.103869595,-0.033333205,-0.2374279,0.23120572,0.2100113,-0.2687328,-0.13190138
ex:name,0.23543678,-0.24876976,0.06668333,0.064302914,0.066442356,0.13926001,-0.23586342,0.037941385,-0.19527261,0.12368662,0.01869312,-0.10628381,-0.028308293,0.013645949,0.07533928,0.08553926,0.0013835889,-0.047786262,0.07805683,0.06418375,0.05318846,-0.1236625,-0.24830177,0.052836675,0.09636321,-0.19161038,0.27334172,-0.089208946,-0.13693582,0.0960674,0.19122227,0.2575447,0.12199862,0.23877105,-0.07875811,-0.1275109,0.09641973,-0.3486069,0.010030196,-0.012732243,-0.116706796,-0.019895224,0.09215705,-0.1274775,-0.08531625,0.16381542,0.20282087,0.29066575,-0.11788598,-0.038592294
ex:originalLanguage,-0.06064308,0.07184678,0.088905856,-0.20858638,0.4540918,-0.28703296,0.22186789,-0.15229234,-0.051208574,0.11858038,0.1394902,0.057265542,-0.10303128,-0.20141718,0.06799568,0.11106679,-0.07804879,-0.18321359,-0.18345323,-0.28895375,0.1492003,0.12127284,-0.31908402,-0.19966881,0.010037561,-0.2250018,-0.027526906,-0.085301794,0.046307605,-0.0038946993,-0.11967392,0.08333151,0.04884828,0.059656996,-0.0917728,0.22545022,-0.026723953,0.06224811,-0.20691791,-0.087383665,-0.18058442,0.08370678,-0.08861366,-0.13740171,-0.06015731,-0.007629974,0.13411826,-0.111914404,-0.2352306,0.31312218
ex:popularity,0.10862204,-0.12247371,0.14231937,0.19941992,-0.008407398,-0.22663398,0.2473166,0.08340087,-0.0044520316,0.00367745,0.088263795,0.26073062,-0.014815429,-0.118219584,-0.08381632,-0.122168206,-0.21147658,0.07473794,0.121899895,-0.04155385,-0.024768585,0.19041494,0.10927726,-0.045295656,-0.093028754,-0.21756065,-0.0141751515,-0.080784656,-0.18460467,-0.025978018,0.06617918,0.18288042,0.11062198,0.07247644,-0.06470456,0.099251956,-0.10348055,0.23216444,0.0823686,-0.0022259066,-0.1570426,-0.058438092,0.111408435,-0.22760424,0.15440622,-0.15352488,0.11314293,0.11282542,-0.01486617,0.21665958
ex:productionCountry,-0.16276494,-0.029733963,0.30982095,-0.11763313,0.5265432,-0.3429108,0.17344362,0.11705862,-0.12143584,0.078086644,0.048574015,0.48131114,-0.08097928,-0.2679868,0.18302137,-0.1496279,-0.010891305,0.20235063,-0.0008471151,-0.21564849,0.18868367,-0.021535888,-0.19934246,-0.27953973,-0.26558515,-0.1708945,0.12918968,0.051828343,-0.29929563,-0.101086885,0.41886854,0.3930854,-0.21482478,-0.030192073,-0.17161249,0.28188738,0.00941312,0.07576462,0.016140666,-0.33714733,-0.118432775,0.24504223,-0.17638287,-0.47645897,0.3321195,-0.067016505,-0.008200322,-0.069069386,-0.3266846,-0.041507892
ex:timesWatched,-0.13404563,-0.10378123,0.102849,0.083839074,0.006002647,-0.44037518,-0.0055235755,0.09079435,0.12633759,0.123307936,-0.25740612,0.20345885,-0.22582568,-0.10954849,-0.021575706,0.14108698,-0.46284127,0.25186476,0.0008591208,-0.36918047,-0.26492026,-0.06087669,0.049810663,-0.1479706,-0.08792888,0.049631115,0.013087937,0.044608887,-0.23739147,-0.042557444,0.08909831,0.28396773,-0.4242487,0.26088288,0.062371407,0.28600612,0.0923374,0.27372712,0.13627517,0.15586793,-0.057290997,-0.24179886,-0.10744051,0.13929482,-0.08095351,-0.18160735,0.18956065,-0.04295092,-0.10107259,0.044081498
rdf:type,-0.057327706,0.30492198,-0.5016362,0.04414339,-0.09032781,-0.17463614,0.08697068,0.08498234,0.19289371,-0.0012985378,0.02410371,0.053454634,-0.06177169,0.015761599,0.18732129,-0.10683562,0.15173505,0.15578158,-0.004837288,0.000397194,0.053836655,-0.21701321,0.32802123,0.08198504,0.09274472,-0.06588982,0.082579,-0.30176616,-0.08662247,0.18616502,0.032921586,0.07496503,-0.0023517855,0.09732146,0.040416714,0.2019912,-0.060953893,0.008786806,-0.19015917,0.31801635,0.03851752,0.12273658,0.2034882,0.045711864,-0.11817206,-0.3532618,-0.20216392,0.2943257,0.23067883,0.34932393
schema:actor,-0.073510945,0.05871987,0.35609764,0.14908022,0.28457692,-0.2139159,0.23196119,-0.08366298,-0.35011193,0.23393354,0.093887806,0.23464149,-0.2446997,-0.28505078,-0.12410439,0.08052077,-0.068912685,0.23198678,-0.055326708,-0.24853854,0.043673,0.19868314,-0.05475434,-0.219742,-0.014573221,0.09947143,-0.15739672,0.13189867,-0.28487194,-0.10490464,0.2670698,0.0738078,-0.0039259954,0.17182575,-0.2488669,0.09995174,-0.1179806,-0.06689933,-0.13873109,-0.13955559,0.030268976,0.19161552,-0.23883885,-0.018252568,-0.13435791,-0.1684911,0.1249965,-0.06735866,-0.23419681,0.098718256
