candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote
929,Godzilla,1998.0,0.3688,0.5221,0.4301,The Day After Tomorrow,0.75,0.0189,0.0,1.0,0.8825,1.0,0.9615,0.7732
11797,Fright Night,1985.0,0.3051,0.46,0.3671,Fright Night,1.0,0.0769,0.0278,0.0,0.9994,1.0,0.9916,0.7908
262097,Trio,1997.0,0.3612,0.363,0.3619,Seven Psychopaths,1.0,0.0,0.0,0.0,0.9731,0.0,0.9183,0.3692
11868,Dracula,1958.0,0.2846,0.4735,0.3601,Dracula,1.0,0.1364,0.0,0.0,0.9651,1.0,0.99,0.9695
1498,Teenage Mutant Ninja Turtles,1990.0,0.2999,0.4414,0.3565,Teenage Mutant Ninja Turtles,0.8,0.3182,0.0,0.0,0.9651,1.0,0.7857,0.8055
9320,The Avengers,1998.0,0.3303,0.3814,0.3508,Teenage Mutant Ninja Turtles,0.8,0.0968,0.0,0.0,0.9231,1.0,0.6918,0.6255
1924,Superman,1978.0,0.2041,0.4698,0.3103,Black Panther,1.0,0.1304,0.0,0.0,0.956,1.0,0.9719,0.9457
532,A Close Shave,1996.0,0.0,0.7713,0.3085,The Wrong Trousers,1.0,0.3704,0.5,1.0,1.0,1.0,0.9953,0.949
11122,India,1993.0,0.1934,0.4412,0.2925,Summer Storm,1.0,0.037,0.0,0.0,0.9651,1.0,0.9614,0.75
269287,Miriam,1957.0,0.2248,0.3867,0.2896,Wach,1.0,0.0,0.0,0.0,0.9104,0.0,0.949,0.875
22843,Evangelion: 2.0 You Can (Not) Advance,2009.0,0.0,0.6747,0.2699,Neon Genesis Evangelion: The End of Evangelion,1.0,0.1176,0.6316,0.6667,0.7066,1.0,0.9195,0.8717
2661,Batman,1966.0,0.1461,0.4507,0.2679,21 Jump Street,1.0,0.0606,0.0,0.0,0.9912,1.0,0.8997,0.8805
863,Toy Story 2,1999.0,0.0,0.6172,0.2469,Toy Story,0.75,0.1143,0.3793,1.0,0.935,1.0,0.7776,0.9077
28942,The Brood,1979.0,0.0,0.6037,0.2415,The Fly,1.0,0.1,0.0,1.0,0.9912,1.0,0.8625,0.821
634544,Uncle Frank,2020.0,0.1777,0.3224,0.2356,The Straight Story,0.5,0.0571,0.0,0.0,0.8517,1.0,0.9671,0.9
27429,Shivers,1975.0,0.0,0.5846,0.2339,Crimes of the Future,1.0,0.0,0.0,1.0,0.8183,1.0,0.9589,0.9155
1544,Imagine Me & You,2006.0,0.0,0.5812,0.2325,Ticket to Paradise,1.0,0.0,0.0,1.0,0.935,1.0,0.9743,0.7145
632856,Spirited,2022.0,0.0,0.5803,0.2321,That's My Boy,1.0,0.0,0.0,1.0,0.935,1.0,0.9295,0.7408
9356,Look Who's Talking Too,1990.0,0.0,0.5768,0.2307,Clueless,1.0,0.05,0.0256,1.0,0.8674,1.0,0.8217,0.5445
468,My Own Private Idaho,1991.0,0.0,0.5703,0.2281,Good Will Hunting,1.0,0.0233,0.0,1.0,0.7454,1.0,0.8312,0.736
10112,The Aristocats,1970.0,0.0,0.5701,0.228,The Jungle Book,0.75,0.0833,0.0811,1.0,1.0,1.0,0.9965,0.998
1208743,Ro,,0.1449,0.3484,0.2263,The Land Before Time XI: Invasion of the Tinysauruses,1.0,0.0,0.0,0.0,0.9978,0.0,0.9712,0.0
25126,Six Shooter,2004.0,0.0,0.5588,0.2235,In Bruges,1.0,0.0455,0.037,1.0,0.0261,1.0,0.9018,0.918
