Date,Content,Comment
2021-07-05,https://boxd.it/1EOLul,I will choose to immediately forget this information again
2021-07-14,https://boxd.it/1Zsu1r,"I didn’t like this one as well, and del Toro is one of my favourite directors. It just felt so boring most of the time
pretty tho"
2021-11-23,https://boxd.it/2iWWBj,so true sam
2021-12-29,https://boxd.it/2oXoHD,it’s not talking if you all sing ;)
2022-01-02,https://boxd.it/2pNiER,you're so right
2022-01-17,https://boxd.it/2tEL71,yes I agree. especially the plottwist (?) in the end??? the premise of the story is an interesting concept  but they didn’t really go anywhere with it
2022-01-25,https://boxd.it/2vAXtt,Could you elaborate on what you mean with your last statements? How does this differ from how Germans/Austrians deal with their WW2 heritage usually and in what ways is this film dangerous?
2022-01-29,https://boxd.it/2wmwN3,it’s because all of the characters are already perfect
2022-02-19,https://boxd.it/2AKJrN,You might enjoy Rushmore!! It’s one of Wes‘ earlier movies and not as heavily stylised as his later ones! (it’s also my favourite)
2022-03-07,https://boxd.it/2CU5Wz,thank you!!! finally someone who agrees that tlw > jp1
2022-05-24,https://boxd.it/2RUUaL,this is my all-time favourite review now
2022-07-01,https://boxd.it/bX1FC,the inside outtakes lol
2022-07-03,https://boxd.it/2Z0ILl,kronk my favourite cinema himbo <3
2022-07-04,https://boxd.it/2ZgtGx,the pink triangle on his uniform in the end ☹️💞
2022-07-06,https://boxd.it/lVKi9,that didn't age very well did it haha
2022-07-28,https://boxd.it/34phGN,"wait omg that’s so- , I love that for him!"
2022-12-23,https://boxd.it/3jZw2v,thank you very much!!! I drew it myself :)
2023-02-18,https://boxd.it/3RVkhL,BANGER
2023-04-23,https://boxd.it/1E6iJX,maybe boobies could have saved communism?
2023-04-30,https://boxd.it/4bBQNf,5 stars yes!!!!!!!
2023-05-04,https://boxd.it/4cuuQV,"hell yeah I love this one!!! If you’re interested, the original screening had a different ending that they removed for the final version, you can find it on youtube <a href=""https://youtu.be/N7wotKNaj_s"" title=""here"">here</a>! it’s a lot more psychedelic and experimental than what they ended up with haha. idk which one’s better but both versions are interesting for sure!"
2023-06-29,https://boxd.it/4rlfSf,not even the benicio del toro story? 😔
2023-07-19,https://boxd.it/4xtfjp,"hey, which country’s netflix are we talking about?"
2023-07-19,https://boxd.it/4xtfjp,thank you!!
2023-07-22,https://boxd.it/4y0dgp,I bought some just for this movie 😭
2023-07-29,https://boxd.it/4Brzn9,that sounds AMAZING
2023-08-04,https://boxd.it/4DFCKL,you and me both 🫡
2023-08-05,https://boxd.it/4E99Ep,“Is it really love if you can only appreciate it from a distance” 🥲🥲🥲 oh god
2023-09-06,https://boxd.it/4O8zbL,sherlock with christian bale as the lead? sounds pretty based if you ask me
2023-09-11,https://boxd.it/4Psvqr,"Thank you so much for sharing!! It always helps me to hear more experiences and get insight to more perspectives!
Moli is a really nice name, I’m glad you found yours! :)"
2023-09-16,https://boxd.it/4IvFPf,may I ask which one is the second? 👀
2023-09-17,https://boxd.it/4R4KhJ,the synopsis alone wtf 😞😞
2023-09-22,https://boxd.it/3Fi0O5,this is the truest review ever
2023-10-01,https://boxd.it/4UzTJr,"that’s an interesting thought, thank you! I definitely did, I loved the movie right up until the end, and honestly those 2 stars could’ve been for Tilda Swintons performance alone"
2024-02-21,https://boxd.it/3ezReP,st sth the gift of prophecy sth sth
2024-02-27,https://boxd.it/5Vcf5x,ich muss den so dringend schaun
2024-06-05,https://boxd.it/6C34CJ,lovely t rex couple dinner scene for example <3
2024-06-20,https://boxd.it/6I3rjp,this movie is so underappreciated
2024-10-31,https://boxd.it/4e9LUL,"I love this review, possibly my favourite one and definitely one of my favourite interpretations!"
2024-12-27,https://boxd.it/8aqbm9,"great review, love this film!!"
2025-07-29,https://boxd.it/awk5Uh,what if they just trained all the models exclusively on this footage and this footage alone
2025-09-01,https://boxd.it/aVEvYz,"First season of Peacemaker was so peak, James Gunn really is the man"
