Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-02,movies to watch in the next few weeks with nonstop,,https://boxd.it/xz0o6,

Position,Name,Year,URL,Description
1,The Promised Land,2023,https://boxd.it/B1hA,
2,Bound,1996,https://boxd.it/1Z1g,
3,Thelma & Louise,1991,https://boxd.it/28Ew,
4,Challengers,2024,https://boxd.it/zld0,
5,The Monk and the Gun,2023,https://boxd.it/G0jK,
6,Führer and Seducer,2024,https://boxd.it/KhUG,
7,Porco Rosso,1992,https://boxd.it/1Tp2,
8,The Boy and the Heron,2023,https://boxd.it/ipeM,
9,The Dead Don't Hurt,2023,https://boxd.it/D30A,
10,Princess Mononoke,1997,https://boxd.it/2b4w,
11,Crossing,2024,https://boxd.it/sLu8,
12,Kafka,2024,https://boxd.it/MdPQ,
