Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-12-07,Frankenweenie,2012,https://boxd.it/2ldhbV,5,,,2019-12-09
2020-06-08,Bird Box,2018,https://boxd.it/1bGX7V,3,Yes,,2020-06-07
2020-06-08,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/1bGYTh,5,,,2020-06-07
2020-06-08,Marriage Story,2019,https://boxd.it/1bGZtT,5,,,2020-06-07
2020-06-08,Zodiac,2007,https://boxd.it/1bIzg9,5,,,2020-06-07
2020-06-09,Children of Men,2006,https://boxd.it/1bSwud,5,,,2020-06-09
2020-06-25,Knives Out,2019,https://boxd.it/1dsHKn,5,,,2020-06-24
2020-06-25,Jojo Rabbit,2019,https://boxd.it/1dsLc5,5,,,2020-06-24
2020-06-25,Event Horizon,1997,https://boxd.it/1dtLW5,2,,,2020-06-24
2020-06-25,Little Miss Sunshine,2006,https://boxd.it/1duk0Z,5,,,2020-06-25
2020-06-26,Easy A,2010,https://boxd.it/1dzZvJ,3.5,,,2020-06-26
2020-06-27,The Breakfast Club,1985,https://boxd.it/1dG2jN,5,,,2020-06-27
2020-06-29,Dead Poets Society,1989,https://boxd.it/1dThuR,4,,,2020-06-29
2020-06-29,Robots,2005,https://boxd.it/1dTi2T,5,Yes,animation,2020-06-29
2020-06-29,Da 5 Bloods,2020,https://boxd.it/1dTinH,3.5,,,2020-06-29
2020-07-17,Cloverfield,2008,https://boxd.it/1fLIur,4,,,2020-07-17
2020-07-17,10 Cloverfield Lane,2016,https://boxd.it/1fLIPz,5,,,2020-07-17
2020-07-17,The Cloverfield Paradox,2018,https://boxd.it/1fLJJR,3.5,,,2020-07-17
2020-07-19,Mrs. Doubtfire,1993,https://boxd.it/1fZjAx,4,,,2020-07-19
2020-07-19,Hamilton,2020,https://boxd.it/1fZjU3,5,,,2020-07-19
2020-07-20,Hostel,2005,https://boxd.it/1g7GEj,2.5,,,2020-07-20
2020-07-21,Saw,2004,https://boxd.it/1gd3dZ,2.5,,,2020-07-21
2020-08-19,The King of Staten Island,2020,https://boxd.it/1jfnrj,4,,,2020-08-19
2021-03-02,The Cable Guy,1996,https://boxd.it/1HeBX3,4,,,2021-03-02
2021-03-16,The Road to El Dorado,2000,https://boxd.it/1J78D3,4,,animation,2021-03-16
2021-03-20,Rio,2011,https://boxd.it/1Jwykr,2.5,,animation,2021-03-19
2021-04-16,Bram Stoker's Dracula,1992,https://boxd.it/1NroGj,5,,,2021-04-15
2021-05-07,The Mitchells vs. the Machines,2021,https://boxd.it/1Qsy9D,5,,"animation, sony",2021-05-07
2021-05-15,Coraline,2009,https://boxd.it/1RqVWN,3.5,,animation,2021-05-13
2021-05-22,Steve Jobs,2015,https://boxd.it/1SmBLL,4.5,Yes,,2021-05-21
2021-05-28,Uncut Gems,2019,https://boxd.it/1TdR29,5,,,2021-05-28
2021-06-12,Army of the Dead,2021,https://boxd.it/1Vbwon,2,,,2021-06-05
2021-06-09,Bo Burnham: Inside,2021,https://boxd.it/1UODV3,5,,bo burnham,2021-06-08
2021-06-10,Bo Burnham: Inside,2021,https://boxd.it/1UXbuh,5,Yes,bo burnham,2021-06-08
2021-06-20,Isle of Dogs,2018,https://boxd.it/1WejVD,4,,"wesanderson, animation",2021-06-18
2021-06-20,The Grand Budapest Hotel,2014,https://boxd.it/1Wel3D,3.5,,wesanderson,2021-06-20
2021-06-28,Fight Club,1999,https://boxd.it/1XkqQ7,4.5,,,2021-06-28
2021-06-30,Luca,2021,https://boxd.it/1XxEP9,3.5,,"disney, animation",2021-06-30
2021-07-04,Fear Street: 1994,2021,https://boxd.it/1Y3UDH,3,,,2021-07-04
2021-07-05,Kung Fu Panda,2008,https://boxd.it/1Ygc03,3.5,,animation,2021-07-05
2021-07-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1YoFHV,3.5,,,2021-07-06
2021-07-08,Ex Machina,2015,https://boxd.it/1YGKFL,4,,,2021-07-08
2021-07-09,Kung Fu Panda 2,2011,https://boxd.it/1YNTX9,4,,animation,2021-07-09
2021-07-10,A Quiet Place Part II,2020,https://boxd.it/1YVs8z,3.5,,,2021-07-09
2021-07-12,Whiplash,2014,https://boxd.it/1ZgR79,4.5,,,2021-07-12
2021-07-13,Kung Fu Panda 3,2016,https://boxd.it/1ZrcVf,3.5,,animation,2021-07-13
2021-07-14,Signs,2002,https://boxd.it/1Zyhux,4,Yes,mnightshyamalan,2021-07-13
2021-07-15,Starship Troopers,1997,https://boxd.it/1ZFzpT,5,,,2021-07-14
2021-07-15,The Village,2004,https://boxd.it/1ZItI7,3,,mnightshyamalan,2021-07-15
2021-07-16,One Hour Photo,2002,https://boxd.it/1ZRuuj,3,,,2021-07-16
2021-07-18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/206LQB,3.5,,wesanderson,2021-07-17
2021-07-20,Jaws,1975,https://boxd.it/20vfAB,5,,,2021-07-20
2021-07-21,The Lobster,2015,https://boxd.it/20AqCX,3,,,2021-07-20
2021-07-21,The Jungle Book,2016,https://boxd.it/20El6v,4,,,2021-07-21
2021-07-22,Monster Hunter,2020,https://boxd.it/20M6Wx,1.5,,,2021-07-21
2021-07-25,Tarzan,1999,https://boxd.it/21eptv,4,,"disney, animation",2021-07-25
2021-08-05,Neon Genesis Evangelion,1995,https://boxd.it/22LbWt,5,,"anime, evangelion",2021-08-01
2021-08-04,Luca,2021,https://boxd.it/22Elfl,4.5,Yes,"disney, animation",2021-08-02
2021-08-05,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/22LcDR,5,,"anime, evangelion",2021-08-03
2021-08-05,Bolt,2008,https://boxd.it/22OgOv,3.5,Yes,"disney, animation",2021-08-04
2021-08-13,Zootopia,2016,https://boxd.it/23W0or,3,,"disney, animation",2021-08-09
2021-08-16,The Big Short,2015,https://boxd.it/24s0kt,3.5,,,2021-08-16
2021-08-20,The Fast and the Furious,2001,https://boxd.it/24WKcl,3,,,2021-08-19
2021-09-24,Fantastic Mr. Fox,2009,https://boxd.it/29Ofpd,4,,wesanderson,2021-09-23
2021-09-24,The Darjeeling Limited,2007,https://boxd.it/29PUBL,3,,wesanderson,2021-09-24
2021-09-26,The Royal Tenenbaums,2001,https://boxd.it/2a3kuH,2.5,,wesanderson,2021-09-25
2021-09-28,Hereditary,2018,https://boxd.it/2aodxV,5,,,2021-09-27
2021-09-30,Free Guy,2021,https://boxd.it/2aD4PV,2.5,,,2021-09-29
2021-10-02,Dune,2021,https://boxd.it/2aUruv,2.5,,,2021-10-02
2021-10-07,Rushmore,1998,https://boxd.it/2bDyK1,5,,wesanderson,2021-10-06
2021-10-07,Bottle Rocket,1996,https://boxd.it/2bI2tH,3,,wesanderson,2021-10-07
2021-10-11,Moonrise Kingdom,2012,https://boxd.it/2ciLoz,3,,wesanderson,2021-10-11
2021-10-11,The Grand Budapest Hotel,2014,https://boxd.it/2ckYaf,4,Yes,wesanderson,2021-10-11
2021-10-17,Venom,2018,https://boxd.it/2dcdLB,3.5,Yes,,2021-10-16
2021-10-23,Venom: Let There Be Carnage,2021,https://boxd.it/2e5ykr,3,,,2021-10-22
2021-10-24,Megamind,2010,https://boxd.it/2ekZ9P,4,Yes,,2021-10-24
2021-10-27,Hinterland,2021,https://boxd.it/2eN5Wf,3,,,2021-10-25
2021-11-03,War of the Worlds,2005,https://boxd.it/2fZ7q9,4,,,2021-11-01
2021-11-05,Love and Monsters,2020,https://boxd.it/2gcsM7,4.5,,,2021-11-03
2021-11-06,The French Dispatch,2021,https://boxd.it/2gmHpd,5,,wesanderson,2021-11-05
2021-11-15,The French Dispatch,2021,https://boxd.it/2hQS3h,4,Yes,wesanderson,2021-11-14
2021-11-20,We're the Millers,2013,https://boxd.it/2iwWIx,3,,,2021-11-17
2021-11-21,The Lego Batman Movie,2017,https://boxd.it/2iLoar,4.5,,,2021-11-21
2021-11-22,Arrival,2016,https://boxd.it/2iWThZ,5,Yes,,2021-11-22
2021-11-23,American Psycho,2000,https://boxd.it/2j5ORB,2,,,2021-11-23
2021-11-24,The Matrix,1999,https://boxd.it/2jeIE5,4.5,Yes,,2021-11-24
2021-11-25,"tick, tick... BOOM!",2021,https://boxd.it/2jlnMr,3.5,,,2021-11-24
2021-11-27,The Tomorrow War,2021,https://boxd.it/2jFAW5,1,,,2021-11-27
2021-12-06,Krampus,2015,https://boxd.it/2l3hov,3,,,2021-12-05
2021-12-07,Adam Sandler: 100% Fresh,2018,https://boxd.it/2ld7mf,1.5,,,2021-12-07
2021-12-08,The Social Network,2010,https://boxd.it/2lkldF,4,,,2021-12-08
2021-12-21,The Witcher: Nightmare of the Wolf,2021,https://boxd.it/2nx35H,3.5,,,2021-12-20
2021-12-24,The Witcher Season One Recap: From the Beginning,2021,https://boxd.it/2o2pd1,,,,2021-12-21
2021-12-24,Making The Witcher: Season 2,2021,https://boxd.it/2o2qT3,,,,2021-12-24
2021-12-25,Coco,2017,https://boxd.it/2ohOlT,3.5,,,2021-12-25
2021-12-27,Spider-Man,2002,https://boxd.it/2oMI9f,3,,marvel,2021-12-26
2021-12-28,Spider-Man 2,2004,https://boxd.it/2p1tj5,4,,,2021-12-27
2021-12-29,Spider-Man 3,2007,https://boxd.it/2pjZTP,3.5,,,2021-12-29
2021-12-31,Encanto,2021,https://boxd.it/2pRSiv,4,,,2021-12-30
2022-01-03,The Amazing Spider-Man,2012,https://boxd.it/2qMDox,2,,,2022-01-02
2022-01-14,Antlers,2021,https://boxd.it/2tEL71,3,,,2022-01-14
2022-01-25,The Conference,2022,https://boxd.it/2w884P,4.5,,,2022-01-24
2022-01-28,Another Round,2020,https://boxd.it/2wGSZF,5,,,2022-01-27
