Date,Name,Year,Letterboxd URI
2020-06-08,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0
2020-06-08,Marriage Story,2019,https://boxd.it/hJAw
2020-06-08,Zodiac,2007,https://boxd.it/27MO
2020-06-09,Children of Men,2006,https://boxd.it/1Y2i
2020-06-25,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-06-27,The Breakfast Club,1985,https://boxd.it/27q4
2020-06-29,Dead Poets Society,1989,https://boxd.it/2aSg
2020-06-29,Robots,2005,https://boxd.it/1Xve
2020-07-17,Cloverfield,2008,https://boxd.it/2192
2020-07-17,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2020-07-17,The Cloverfield Paradox,2018,https://boxd.it/doVA
2020-07-19,Hamilton,2020,https://boxd.it/kmvE
2020-08-19,The King of Staten Island,2020,https://boxd.it/litG
2021-03-16,The Road to El Dorado,2000,https://boxd.it/1W6s
2021-03-20,Rio,2011,https://boxd.it/NKc
2021-04-16,Bram Stoker's Dracula,1992,https://boxd.it/223a
2021-05-07,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm
2021-05-22,Steve Jobs,2015,https://boxd.it/araG
2021-05-28,Uncut Gems,2019,https://boxd.it/gXGc
2021-06-09,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-06-20,Isle of Dogs,2018,https://boxd.it/dZrW
2021-06-20,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-06-28,Fight Club,1999,https://boxd.it/2a9q
2021-06-30,Luca,2021,https://boxd.it/ipjC
2021-07-05,Kung Fu Panda,2008,https://boxd.it/1Yws
2021-07-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2021-07-08,Knives Out,2019,https://boxd.it/jWEA
2021-07-08,Ex Machina,2015,https://boxd.it/7T2k
2021-07-09,Kung Fu Panda 2,2011,https://boxd.it/G36
2021-07-10,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-07-13,Kung Fu Panda 3,2016,https://boxd.it/4uRQ
2021-07-14,Signs,2002,https://boxd.it/26t2
2021-07-20,Jaws,1975,https://boxd.it/2a5e
2021-07-21,The Jungle Book,2016,https://boxd.it/8wjk
2021-07-25,Tarzan,1999,https://boxd.it/18YO
2021-08-05,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2021-08-05,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2021-08-05,Bolt,2008,https://boxd.it/1QXg
2021-08-20,The Fast and the Furious,2001,https://boxd.it/1XMu
2021-09-24,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2021-09-24,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2021-09-24,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2021-09-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2021-09-28,Hereditary,2018,https://boxd.it/hNVe
2021-10-07,Rushmore,1998,https://boxd.it/1TAO
2021-10-07,Bottle Rocket,1996,https://boxd.it/1PDa
2021-10-17,Venom,2018,https://boxd.it/b8wA
2021-10-23,Venom: Let There Be Carnage,2021,https://boxd.it/llco
2021-10-24,Megamind,2010,https://boxd.it/16Sk
2021-11-03,War of the Worlds,2005,https://boxd.it/2bde
2021-11-05,Love and Monsters,2020,https://boxd.it/lJ6E
2021-11-06,The French Dispatch,2021,https://boxd.it/jLP8
2021-11-21,The Lego Batman Movie,2017,https://boxd.it/azp0
2021-11-22,Arrival,2016,https://boxd.it/aNGk
2021-11-24,The Matrix,1999,https://boxd.it/2a1m
2021-11-25,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2021-12-05,Surf's Up,2007,https://boxd.it/1YKY
2021-12-06,Krampus,2015,https://boxd.it/8Wy6
2021-12-07,Frankenweenie,2012,https://boxd.it/bPS
2021-12-21,Making The Witcher,2020,https://boxd.it/rDSY
2021-12-21,The Witcher: Nightmare of the Wolf,2021,https://boxd.it/oNDI
2021-12-24,The Witcher Season One Recap: From the Beginning,2021,https://boxd.it/yxUS
2021-12-24,Making The Witcher: Season 2,2021,https://boxd.it/yxKe
2021-12-25,Coco,2017,https://boxd.it/bYJQ
2021-12-27,Spider-Man,2002,https://boxd.it/2a8i
