Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-27,banger horror movies,,https://boxd.it/mv97m,that I love

Position,Name,Year,URL,Description
1,Phase IV,1974,https://boxd.it/iDY,INSANE MOVIE
2,The Ritual,2017,https://boxd.it/fo0I,incredibly good ngl
3,Hereditary,2018,https://boxd.it/hNVe,I don’t have to say anything do I
4,Get Out,2017,https://boxd.it/eOCm,self-explanatory as well
5,Hellraiser,1987,https://boxd.it/1Zpi,LOVE LOVE LOVE LOVE
6,In My Skin,2002,https://boxd.it/283A,this feels so weirdly personal to me okay pls don’t ask me to elaborate
7,Alien,1979,https://boxd.it/2awY,THE ALIEN FROM ALIEN* MY BELOVED<br><br>later dubbed Xenomorph by the sequels
8,Alien³,1992,https://boxd.it/20zS,"<p>a guilty pleasure okay<br>for in depth info on how I feel about this one read what I wrote on my <a href=""https://boxd.it/cFCZ8"" title=""alien/predator/blade runner list"">alien/predator/blade runner list</a></p>"
9,Event Horizon,1997,https://boxd.it/20d8,"<p>same with this one, another guilty pleasure<br>I’m this movie’s biggest hater and yet it I love it to death, again please see <a href=""https://boxd.it/eDM4U"" title=""here"">here</a> for additional thoughts<br><br></p>"
10,It Follows,2014,https://boxd.it/87wo,bro this one is simply HAUNTING
11,The Thing,1982,https://boxd.it/294O,
12,Slither,2006,https://boxd.it/1Zks,
