Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-18,daddy issues movies I have to watch now that my dad is dying*,,https://boxd.it/mmaOe,"lowkey ranked based on how much they destroyed me
*EDIT: he beat me to it"

Position,Name,Year,URL,Description
1,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,"<p>rewatched, AAAAAAAAAAAA</p>"
2,About Time,2013,https://boxd.it/43bI,"rewatched, wrecked me so hard I can’t even begin to explain"
3,The Royal Tenenbaums,2001,https://boxd.it/1YHU,"<p>rewatched, holy shit THE movie about daddy issues ever</p>"
4,Aftersun,2022,https://boxd.it/Arw0,oh ☹️☹️☹️<br>(only ranked so relatively low bc it didnt mirror my personal relationship with my dad as much)
5,The Darjeeling Limited,2007,https://boxd.it/24as,<i>rewatch pending</i>
6,The Father,2020,https://boxd.it/m8Ie,<i>watch pending</i>
7,Big Fish,2003,https://boxd.it/2a3M,<i>watch pending</i>
8,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,<i>rewatch pending</i>
9,The Whale,2022,https://boxd.it/tw4c,<i>watch pending</i>
