Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-02-17,DCEU ranked,,https://boxd.it/fsV34,"peacemaker is number one btw but it’s not on letterboxd

yet to rank: 
black adam
shazam fury of the gods"

Position,Name,Year,URL,Description
1,Shazam!,2019,https://boxd.it/8WBu,
2,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
3,Wonder Woman,2017,https://boxd.it/9roG,
4,The Suicide Squad,2021,https://boxd.it/fw6O,
5,Aquaman,2018,https://boxd.it/9ru0,
6,Wonder Woman 1984,2020,https://boxd.it/gBtA,
7,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
8,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
9,Man of Steel,2013,https://boxd.it/FRk,
10,Suicide Squad,2016,https://boxd.it/9row,
11,Justice League,2017,https://boxd.it/4w68,
