Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-12,dracula watchlist,,https://boxd.it/p89qE,

Position,Name,Year,URL,Description
1,Nosferatu,1922,https://boxd.it/29TM,
2,Dracula,1931,https://boxd.it/2b34,
3,Drácula,1931,https://boxd.it/146I,
4,Dracula in Istanbul,1953,https://boxd.it/3G3Q,
5,Dracula,1958,https://boxd.it/1STA,
6,Count Dracula,1970,https://boxd.it/22S8,
7,Dracula,1974,https://boxd.it/34K8,
8,Count Dracula,1977,https://boxd.it/DCM,
9,Dracula,1979,https://boxd.it/1fk2,
10,Nosferatu the Vampyre,1979,https://boxd.it/21J0,
11,Bram Stoker's Dracula,1992,https://boxd.it/223a,
12,Dracula,2006,https://boxd.it/11j0,
