Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-01,Godzilla (and Kaiju Friends & Foes) by release date,"ゴジラ, monsterverse, japan, kaiju, godzilla watchthrough",https://boxd.it/vUu1K,"Long term projekt of watching and <a href=""https://boxd.it/w172k"" rel=""nofollow"">ranking</a> every Godzilla movie. I also included standalone movies of his various kaiju counterparts.

The ranking can be found <a href=""https://boxd.it/w172k"" rel=""nofollow"">here</a>"

Position,Name,Year,URL,Description
1,King Kong,1933,https://boxd.it/2aMM,<i>not mainline</i>
2,The Son of Kong,1933,https://boxd.it/VaG,<i>not mainline</i>
3,Godzilla,1954,https://boxd.it/28kc,
4,Rodan,1956,https://boxd.it/1EBi,<i>not mainline</i>
5,Godzilla Raids Again,1955,https://boxd.it/28k2,
6,The Mysterians,1957,https://boxd.it/V1u,<i>not mainline</i>
7,Varan,1958,https://boxd.it/fAbS,<i>not mainline</i>
8,Mothra,1961,https://boxd.it/13K8,<i>not mainline</i>
9,King Kong vs. Godzilla,1962,https://boxd.it/28jS,
10,Mothra vs. Godzilla,1964,https://boxd.it/28jy,
11,"Ghidorah, the Three-Headed Monster",1964,https://boxd.it/1Lze,
12,Frankenstein Conquers the World,1965,https://boxd.it/25Cs,<i>not mainline</i>
13,Invasion of Astro-Monster,1965,https://boxd.it/1EXe,
14,The War of the Gargantuas,1966,https://boxd.it/25EI,<i>not mainline</i>
15,"Ebirah, Horror of the Deep",1966,https://boxd.it/25Hs,
16,King Kong Escapes,1967,https://boxd.it/1448,<i>not mainline</i>
17,Son of Godzilla,1967,https://boxd.it/1GAQ,
18,Destroy All Monsters,1968,https://boxd.it/25IK,
19,All Monsters Attack,1969,https://boxd.it/13Co,
20,Godzilla vs. Hedorah,1971,https://boxd.it/13C4,
21,Godzilla vs. Gigan,1972,https://boxd.it/1FgU,
22,Godzilla vs. Megalon,1973,https://boxd.it/145U,
23,Godzilla vs. Mechagodzilla,1974,https://boxd.it/15Gs,
24,Terror of Mechagodzilla,1975,https://boxd.it/1Fhe,
25,King Kong,1976,https://boxd.it/1VwY,<i>not mainline</i>
26,The Return of Godzilla,1984,https://boxd.it/eTZ6,
27,King Kong Lives,1986,https://boxd.it/1i3y,<i>not mainline</i>
28,Godzilla vs. Biollante,1989,https://boxd.it/1Hec,
29,Godzilla vs. King Ghidorah,1991,https://boxd.it/1a4e,
30,Godzilla vs. Mothra,1992,https://boxd.it/13BU,
31,Godzilla vs. Mechagodzilla II,1993,https://boxd.it/21uE,
32,Godzilla vs. SpaceGodzilla,1994,https://boxd.it/13BK,
33,Godzilla vs. Destoroyah,1995,https://boxd.it/1RHy,
34,Rebirth of Mothra,1996,https://boxd.it/1b4u,<i>not mainline</i>
35,Rebirth of Mothra II,1997,https://boxd.it/1b4O,<i>not mainline</i>
36,Godzilla,1998,https://boxd.it/29fW,
37,Rebirth of Mothra III,1998,https://boxd.it/1aZE,<i>not mainline</i>
38,Godzilla 2000: Millennium,1999,https://boxd.it/1VKm,
39,Godzilla vs. Megaguirus,2000,https://boxd.it/13Bq,
40,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,https://boxd.it/1b0i,
41,Godzilla Against MechaGodzilla,2002,https://boxd.it/1Rwg,
42,Godzilla: Tokyo S.O.S.,2003,https://boxd.it/13Bg,
43,Godzilla: Final Wars,2004,https://boxd.it/1Lz4,
44,King Kong,2005,https://boxd.it/2aLa,<i>not mainline</i>
45,Godzilla,2014,https://boxd.it/47OE,
46,Shin Godzilla,2016,https://boxd.it/a9lm,
47,Kong: Skull Island,2017,https://boxd.it/9ewM,<i>not mainline</i>
48,Godzilla: Planet of the Monsters,2017,https://boxd.it/g1kC,
49,Godzilla: City on the Edge of Battle,2018,https://boxd.it/hLgo,
50,Godzilla: The Planet Eater,2018,https://boxd.it/jwJ0,
51,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,
52,Godzilla vs. Kong,2021,https://boxd.it/e0qK,
53,Godzilla Minus One,2023,https://boxd.it/zu4c,
54,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,
