Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-31,Guillermo del Toro RANKED,,https://boxd.it/jSWha,all GdT movies I have seen so far ranked

Position,Name,Year,URL,Description
1,The Shape of Water,2017,https://boxd.it/dZ5m,
2,Pan's Labyrinth,2006,https://boxd.it/28No,
3,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
4,Pacific Rim,2013,https://boxd.it/2cB2,
5,Hellboy,2004,https://boxd.it/28HK,
6,Hellboy II: The Golden Army,2008,https://boxd.it/1Ug6,
7,The Devil's Backbone,2001,https://boxd.it/28Li,
8,Crimson Peak,2015,https://boxd.it/62Ty,
