Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-08-22,love death & robots ranked,,https://boxd.it/hXtzm,s1 is still missing bc i cant be bothered to rewatch it atm

Position,Name,Year,URL,Description
1,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/BykM,fucking brilliant and a masterpiece
2,"Love, Death & Robots: All Through the House",2021,https://boxd.it/vhXA,AMAZING
3,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/vhLE,really really really really good!
4,"Love, Death & Robots: Swarm",2022,https://boxd.it/AW84,I really like this!! swarm animals are so weird and cool to me
5,"Love, Death & Robots: Life Hutch",2021,https://boxd.it/vdRe,very good! tense and such a cool robot design
6,"Love, Death & Robots: Mason's Rats",2022,https://boxd.it/AW76,cool style and cool action
7,"Love, Death & Robots: Ice",2021,https://boxd.it/vhLu,cool!
8,"Love, Death & Robots: The Drowned Giant",2021,https://boxd.it/vdRo,"soft, poetic"
9,"Love, Death & Robots: The Tall Grass",2021,https://boxd.it/vdQU,cool artstyle and atmospheric!
10,"Love, Death & Robots: Night of the Mini Dead",2022,https://boxd.it/AW6s,just fun :)
11,"Love, Death & Robots: The Very Pulse of the Machine",2022,https://boxd.it/AW5O,very pretty but kinda bland story-wise
12,"Love, Death & Robots: Automated Customer Service",2021,https://boxd.it/vhLk,okay! fun!
13,"Love, Death & Robots: Snow in the Desert",2021,https://boxd.it/vhLO,alright! cool!
14,"Love, Death & Robots: Jibaro",2022,https://boxd.it/EqO6,idrk
15,"Love, Death & Robots: Kill Team Kill",2022,https://boxd.it/AW6M,very mediocre
16,"Love, Death & Robots: In Vaulted Halls Entombed",2022,https://boxd.it/AW7A,"eh, not really that interesting"
17,"Love, Death & Robots: Three Robots: Exit Strategies",2022,https://boxd.it/AVpy,too obvious for my taste
