Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-10,movies that depict nazism,,https://boxd.it/idrpQ,"that I have seen and liked


remembrance is important, especially in today’s times. never forget."

Position,Name,Year,URL,Description
1,Schindler's List,1993,https://boxd.it/2aq2,
2,The Conference,2022,https://boxd.it/ydjs,
3,Inglourious Basterds,2009,https://boxd.it/1JzG,
4,Look Who's Back,2015,https://boxd.it/akeQ,
5,Downfall,2004,https://boxd.it/2a04,
6,The Wave,2008,https://boxd.it/20OS,
7,Jojo Rabbit,2019,https://boxd.it/iEBG,
