Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-28,the PEAK of animation,,https://boxd.it/kRHmw,"animated media that I believe to be genre pushing and outstanding

definitely including Arcane (2019), which isn’t on Letterboxd"

Position,Name,Year,URL,Description
1,Rango,2011,https://boxd.it/QPk,
2,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,
3,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
4,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,
5,The Lego Batman Movie,2017,https://boxd.it/azp0,
6,Shrek 2,2004,https://boxd.it/29z8,
7,Surf's Up,2007,https://boxd.it/1YKY,
8,Megamind,2010,https://boxd.it/16Sk,
9,Treasure Planet,2002,https://boxd.it/1Znm,
10,The Emperor's New Groove,2000,https://boxd.it/1Tey,
11,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/BykM,
12,"Love, Death & Robots: Zima Blue",2019,https://boxd.it/lJGM,
13,"Love, Death & Robots: Sonnie's Edge",2019,https://boxd.it/lECg,
14,Kung Fu Panda 2,2011,https://boxd.it/G36,
15,How to Train Your Dragon,2010,https://boxd.it/1WRy,
16,Nimona,2023,https://boxd.it/Aiyc,
17,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
