Date,Name,Year,Letterboxd URI,Rating
2020-06-08,Bird Box,2018,https://boxd.it/eh1i,3
2020-06-08,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,5
2020-06-08,Marriage Story,2019,https://boxd.it/hJAw,5
2020-06-08,Zodiac,2007,https://boxd.it/27MO,5
2020-06-09,Children of Men,2006,https://boxd.it/1Y2i,5
2020-06-25,Knives Out,2019,https://boxd.it/jWEA,5
2020-06-25,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2020-06-25,Event Horizon,1997,https://boxd.it/20d8,2
2020-06-25,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2020-06-26,Easy A,2010,https://boxd.it/17DK,3.5
2020-06-27,The Breakfast Club,1985,https://boxd.it/27q4,5
2020-06-29,Dead Poets Society,1989,https://boxd.it/2aSg,4
2020-06-29,Robots,2005,https://boxd.it/1Xve,5
2020-06-29,Da 5 Bloods,2020,https://boxd.it/lnXw,3.5
2020-07-17,Cloverfield,2008,https://boxd.it/2192,4
2020-07-17,10 Cloverfield Lane,2016,https://boxd.it/aZiu,5
2020-07-17,The Cloverfield Paradox,2018,https://boxd.it/doVA,3.5
2020-07-19,Mrs. Doubtfire,1993,https://boxd.it/29Cw,4
2020-07-19,Hamilton,2020,https://boxd.it/kmvE,5
2020-07-20,Hostel,2005,https://boxd.it/28ig,2.5
2020-07-21,Saw,2004,https://boxd.it/2aWW,2.5
2020-08-19,The King of Staten Island,2020,https://boxd.it/litG,4
2021-03-02,The Cable Guy,1996,https://boxd.it/1XAI,4
2021-03-16,The Road to El Dorado,2000,https://boxd.it/1W6s,4
2021-03-20,Rio,2011,https://boxd.it/NKc,2.5
2021-04-16,Bram Stoker's Dracula,1992,https://boxd.it/223a,5
2021-05-07,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,5
2021-05-15,Coraline,2009,https://boxd.it/1NhQ,3.5
2021-05-22,Steve Jobs,2015,https://boxd.it/araG,4.5
2021-05-28,Uncut Gems,2019,https://boxd.it/gXGc,5
2021-06-09,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-06-12,Army of the Dead,2021,https://boxd.it/ic7S,2
2021-06-20,Isle of Dogs,2018,https://boxd.it/dZrW,4
2021-07-04,Fear Street: 1994,2021,https://boxd.it/lLBk,3
2021-07-05,Kung Fu Panda,2008,https://boxd.it/1Yws,3.5
2021-07-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2021-07-08,Ex Machina,2015,https://boxd.it/7T2k,4
2021-07-09,Kung Fu Panda 2,2011,https://boxd.it/G36,4
2021-07-10,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2021-07-12,Whiplash,2014,https://boxd.it/7bQA,4.5
