Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-06-08,Bird Box,2018,https://boxd.it/1bGX7V,3,Yes,"I wanted to rate the Space Force Netflix show, but since there are no shows here I went for the next best thing with John Malkovich in it. Bird Box is decent. The first act is good, the second is a bit worse and I honestly didn’t vibe with the third one. Still a fun movie to watch if you want an easy horror experience, nothing too over the top. Great choice of casting John Malkovich.",,2020-06-07
2020-06-08,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/1bGYTh,5,,"Simply amazing. Adam Sandler redeemed himself for me with his portrayal of Danny. Ben Stiller and Dustin Hoffman both deliever equally memorable performances. All in all a perfect movie, loved every single moment of it.",,2020-06-07
2020-06-08,Marriage Story,2019,https://boxd.it/1bGZtT,5,,Noah Baumbach seems to be an amazing director. Equally as great as The Meyerowitz Stories. I didn’t even hate Adam Driver at the end so that’s a plus.,,2020-06-07
2020-06-08,Zodiac,2007,https://boxd.it/1bIzg9,5,,"before they were the science bros, they were the detective bros. rdj and mark ruffalo are amazing, and jake gyllenhaal is a fine addition. great movie, 10/10 recommend",,2020-06-07
2020-06-09,Children of Men,2006,https://boxd.it/1bSwud,5,,"I've seen babies and that does not look like one. It reminded me of the baby alien in Alien: Covenant and tbh everything that reminds me of that movie is a sin.

Apart from that the effects are really good, they also do be flexing with their camera movement a bit.

Storywise and cinematography-wise it's 10/10. Perfect movie.",,2020-06-09
2020-06-25,Knives Out,2019,https://boxd.it/1dsHKn,5,,"I was worried they would repeat a really old and frankly dead concept but they added some very nice und unforseeable twists to it. Great movie, I'd recommend it to everyone",,2020-06-24
2020-06-25,Jojo Rabbit,2019,https://boxd.it/1dsLc5,5,,"I’m considering this one of the best films I’ve ever seen now. I's been a few days, yet I can’t stop thinking about it.

It gave us comedy
it gave us drama
it gave us real feels, feels I’d sometimes rather not have (which is a good thing)
it gave us gay freaking nazis, that’s some real representation 
it gave us amazing writing and cinematography
it gave us hitler eating a unicorn
it gave us an insight in propaganda and how it affects us all, and that’s something everyone can take away from it

and it gave this all to us in the form of a perfect movie. there is no con. Taika Waititi everyone. Look out for that man.

(also whoever decided to feature bowie on the soundtrack deserves their own oscar)",,2020-06-24
2020-06-25,Event Horizon,1997,https://boxd.it/1dtLW5,2,,"oh the movie this could have been... it had the possibility to become the greatest cosmic horror movie of all time

sadly, they decided to put this out instead so 2/5 this movie screams lost potential",,2020-06-24
2020-06-25,Little Miss Sunshine,2006,https://boxd.it/1duk0Z,5,,steve carell runs very weird and I kinda relate to that,,2020-06-25
2020-06-26,Easy A,2010,https://boxd.it/1dzZvJ,3.5,,"the whole time watching easy a I was thinking to myself ""this feels like an extremely long glee episode"" and then there was literally a music number",,2020-06-26
