Date,Name,Year,Letterboxd URI
2020-06-08,Bird Box,2018,https://boxd.it/eh1i
2020-06-08,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0
2020-06-08,Marriage Story,2019,https://boxd.it/hJAw
2020-06-08,Zodiac,2007,https://boxd.it/27MO
2020-06-09,Children of Men,2006,https://boxd.it/1Y2i
2020-06-25,Knives Out,2019,https://boxd.it/jWEA
2020-06-25,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-06-25,Event Horizon,1997,https://boxd.it/20d8
2020-06-25,Little Miss Sunshine,2006,https://boxd.it/29EW
2020-06-26,Easy A,2010,https://boxd.it/17DK
2020-06-27,The Breakfast Club,1985,https://boxd.it/27q4
2020-06-29,Dead Poets Society,1989,https://boxd.it/2aSg
2020-06-29,Robots,2005,https://boxd.it/1Xve
2020-06-29,Da 5 Bloods,2020,https://boxd.it/lnXw
2020-07-17,Cloverfield,2008,https://boxd.it/2192
2020-07-17,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2020-07-17,The Cloverfield Paradox,2018,https://boxd.it/doVA
2020-07-19,Mrs. Doubtfire,1993,https://boxd.it/29Cw
2020-07-19,Hamilton,2020,https://boxd.it/kmvE
2020-07-20,Hostel,2005,https://boxd.it/28ig
2020-07-21,Saw,2004,https://boxd.it/2aWW
2020-08-19,The King of Staten Island,2020,https://boxd.it/litG
2021-03-02,The Cable Guy,1996,https://boxd.it/1XAI
2021-03-16,The Road to El Dorado,2000,https://boxd.it/1W6s
2021-03-20,Rio,2011,https://boxd.it/NKc
2021-04-16,Bram Stoker's Dracula,1992,https://boxd.it/223a
2021-05-07,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm
2021-05-15,Coraline,2009,https://boxd.it/1NhQ
2021-05-22,Steve Jobs,2015,https://boxd.it/araG
2021-05-28,Uncut Gems,2019,https://boxd.it/gXGc
2021-06-09,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-06-12,Army of the Dead,2021,https://boxd.it/ic7S
2021-06-20,Isle of Dogs,2018,https://boxd.it/dZrW
2021-06-20,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-06-28,Fight Club,1999,https://boxd.it/2a9q
2021-06-30,Luca,2021,https://boxd.it/ipjC
2021-07-04,Fear Street: 1994,2021,https://boxd.it/lLBk
2021-07-05,Kung Fu Panda,2008,https://boxd.it/1Yws
2021-07-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2021-07-08,Ex Machina,2015,https://boxd.it/7T2k
2021-07-09,Kung Fu Panda 2,2011,https://boxd.it/G36
2021-07-10,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-07-12,Whiplash,2014,https://boxd.it/7bQA
2021-07-13,Kung Fu Panda 3,2016,https://boxd.it/4uRQ
2021-07-14,Signs,2002,https://boxd.it/26t2
2021-07-15,Starship Troopers,1997,https://boxd.it/2a7k
2021-07-15,The Village,2004,https://boxd.it/21iS
2021-07-16,One Hour Photo,2002,https://boxd.it/1YT2
2021-07-18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2021-07-20,Jaws,1975,https://boxd.it/2a5e
2021-07-21,The Lobster,2015,https://boxd.it/7tnw
2021-07-21,The Jungle Book,2016,https://boxd.it/8wjk
2021-07-22,Monster Hunter,2020,https://boxd.it/gnB6
2021-07-25,Tarzan,1999,https://boxd.it/18YO
2021-08-05,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2021-08-05,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2021-08-05,Bolt,2008,https://boxd.it/1QXg
2021-08-13,Zootopia,2016,https://boxd.it/84xS
2021-08-16,The Big Short,2015,https://boxd.it/ajZw
2021-08-20,The Fast and the Furious,2001,https://boxd.it/1XMu
2021-09-24,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2021-09-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2021-09-24,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2021-09-24,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2021-09-24,The Darjeeling Limited,2007,https://boxd.it/24as
2021-09-26,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2021-09-28,Hereditary,2018,https://boxd.it/hNVe
2021-09-29,Lost in Translation,2003,https://boxd.it/2b0E
2021-09-30,Free Guy,2021,https://boxd.it/k8dm
2021-10-02,Dune,2021,https://boxd.it/fA7G
2021-10-06,Moonrise Kingdom,2012,https://boxd.it/2Wng
2021-10-07,Rushmore,1998,https://boxd.it/1TAO
2021-10-07,Bottle Rocket,1996,https://boxd.it/1PDa
2021-10-17,Venom,2018,https://boxd.it/b8wA
2021-10-23,Venom: Let There Be Carnage,2021,https://boxd.it/llco
2021-10-24,Megamind,2010,https://boxd.it/16Sk
2021-10-27,Hinterland,2021,https://boxd.it/vOiq
2021-11-03,War of the Worlds,2005,https://boxd.it/2bde
2021-11-05,Love and Monsters,2020,https://boxd.it/lJ6E
2021-11-06,The French Dispatch,2021,https://boxd.it/jLP8
2021-11-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2021-11-07,First Man,2018,https://boxd.it/cPym
2021-11-07,Arrival,2016,https://boxd.it/aNGk
2021-11-07,Annihilation,2018,https://boxd.it/9yzm
2021-11-20,We're the Millers,2013,https://boxd.it/4srQ
2021-11-21,The Lego Batman Movie,2017,https://boxd.it/azp0
2021-11-23,American Psycho,2000,https://boxd.it/28Vs
2021-11-23,The Fundamentals of Caring,2016,https://boxd.it/aiai
2021-11-24,The Matrix,1999,https://boxd.it/2a1m
2021-11-25,Get Out,2017,https://boxd.it/eOCm
2021-11-25,The Cabin in the Woods,2011,https://boxd.it/1zOc
2021-11-25,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y
2021-11-25,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2021-11-27,The Tomorrow War,2021,https://boxd.it/lE78
2021-11-28,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ
2021-11-28,War for the Planet of the Apes,2017,https://boxd.it/8FE2
2021-11-28,Planet of the Apes,1968,https://boxd.it/29p8
2021-11-28,Rise of the Planet of the Apes,2011,https://boxd.it/cS4
