subject	predicate	object
castPair1	schema:actor	person1023139
castPair2	schema:actor	person1023139
castPair3	schema:actor	person1023139
castPair4	schema:actor	person1023139
castPair5	schema:actor	person1023139
castPair6	schema:actor	person1023139
castPair7	schema:actor	person103
castPair8	schema:actor	person103
castPair9	schema:actor	person103
castPair10	schema:actor	person103
castPair11	schema:actor	person103
castPair12	schema:actor	person103
castPair13	schema:actor	person103
castPair14	schema:actor	person1062
castPair15	schema:actor	person1062
castPair16	schema:actor	person1062
castPair17	schema:actor	person1063
castPair18	schema:actor	person1063
castPair19	schema:actor	person1064
castPair20	schema:actor	person1065
castPair21	schema:actor	person10713
castPair22	schema:actor	person10859
castPair23	schema:actor	person10859
castPair24	schema:actor	person10859
castPair25	schema:actor	person109
castPair26	schema:actor	person109
castPair27	schema:actor	person109
castPair28	schema:actor	person109
castPair29	schema:actor	person10980
castPair30	schema:actor	person10980
castPair31	schema:actor	person10980
castPair32	schema:actor	person10980
castPair33	schema:actor	person10980
castPair34	schema:actor	person10980
castPair35	schema:actor	person10980
castPair36	schema:actor	person10980
castPair37	schema:actor	person10989
castPair38	schema:actor	person10989
castPair39	schema:actor	person10989
castPair40	schema:actor	person10989
castPair41	schema:actor	person10989
castPair42	schema:actor	person10989
castPair43	schema:actor	person10989
castPair44	schema:actor	person10990
castPair45	schema:actor	person10990
castPair46	schema:actor	person10990
castPair47	schema:actor	person10990
castPair48	schema:actor	person10990
castPair49	schema:actor	person10990
castPair50	schema:actor	person10993
castPair51	schema:actor	person10993
castPair52	schema:actor	person110
castPair53	schema:actor	person110
castPair54	schema:actor	person110
castPair55	schema:actor	person1100
castPair56	schema:actor	person11006
castPair57	schema:actor	person11006
castPair58	schema:actor	person11006
castPair59	schema:actor	person11006
castPair60	schema:actor	person11006
castPair61	schema:actor	person110742
castPair62	schema:actor	person110742
castPair63	schema:actor	person110742
castPair64	schema:actor	person110742
castPair65	schema:actor	person11356
castPair66	schema:actor	person11356
castPair67	schema:actor	person11356
castPair68	schema:actor	person11356
castPair69	schema:actor	person11356
castPair70	schema:actor	person1136406
castPair71	schema:actor	person1136406
castPair72	schema:actor	person1136406
castPair73	schema:actor	person114
castPair74	schema:actor	person114
castPair75	schema:actor	person114
castPair76	schema:actor	person114
castPair77	schema:actor	person114
castPair78	schema:actor	person114
castPair79	schema:actor	person114
castPair80	schema:actor	person11514
castPair81	schema:actor	person115974
castPair82	schema:actor	person115974
castPair83	schema:actor	person115974
castPair84	schema:actor	person116
castPair85	schema:actor	person116
castPair86	schema:actor	person116
castPair87	schema:actor	person116
castPair88	schema:actor	person116
castPair89	schema:actor	person11701
castPair90	schema:actor	person11701
castPair91	schema:actor	person11701
castPair92	schema:actor	person11701
castPair93	schema:actor	person11701
castPair94	schema:actor	person11701
castPair95	schema:actor	person118
castPair96	schema:actor	person118
castPair97	schema:actor	person119143
castPair98	schema:actor	person119143
castPair99	schema:actor	person119143
castPair100	schema:actor	person119143
castPair101	schema:actor	person119143
castPair102	schema:actor	person119143
castPair103	schema:actor	person12052
castPair104	schema:actor	person12073
castPair105	schema:actor	person12073
castPair106	schema:actor	person12132
castPair107	schema:actor	person1221099
castPair108	schema:actor	person1221099
castPair109	schema:actor	person1221099
castPair110	schema:actor	person1221099
castPair111	schema:actor	person1222060
castPair112	schema:actor	person1222060
castPair113	schema:actor	person1222060
castPair114	schema:actor	person1222060
castPair115	schema:actor	person1222060
castPair116	schema:actor	person122750
castPair117	schema:actor	person1230
castPair118	schema:actor	person1231
castPair119	schema:actor	person1233
castPair120	schema:actor	person1233
castPair121	schema:actor	person1233
castPair122	schema:actor	person1233
castPair123	schema:actor	person1233
castPair124	schema:actor	person1233
castPair125	schema:actor	person1233
castPair126	schema:actor	person1233
castPair127	schema:actor	person1245
castPair128	schema:actor	person1245
castPair129	schema:actor	person1245
castPair130	schema:actor	person1245
castPair131	schema:actor	person1245
