subject	predicate	object
movie603	ex:featuresStrongCastPair	castPair469
movie603	ex:featuresStrongCastPair	castPair468
movie603	ex:featuresStrongCastPair	castPair575
movie603	ex:featuresStrongCastPair	castPair206
movie603	ex:featuresStrongCastPair	castPair204
movie603	ex:featuresStrongCastPair	castPair205
movie131634	ex:featuresStrongCastPair	castPair627
movie131634	ex:featuresStrongCastPair	castPair626
movie131634	ex:featuresStrongCastPair	castPair454
movie131634	ex:featuresStrongCastPair	castPair456
movie131634	ex:featuresStrongCastPair	castPair453
movie131634	ex:featuresStrongCastPair	castPair455
movie131634	ex:featuresStrongCastPair	castPair451
movie131634	ex:featuresStrongCastPair	castPair452
movie131634	ex:featuresStrongCastPair	castPair604
movie131634	ex:featuresStrongCastPair	castPair606
movie131634	ex:featuresStrongCastPair	castPair605
movie131634	ex:featuresStrongCastPair	castPair673
movie131634	ex:featuresStrongCastPair	castPair118
movie131634	ex:featuresStrongCastPair	castPair124
movie131634	ex:featuresStrongCastPair	castPair120
movie131634	ex:featuresStrongCastPair	castPair126
movie131634	ex:featuresStrongCastPair	castPair123
movie131634	ex:featuresStrongCastPair	castPair125
movie131634	ex:featuresStrongCastPair	castPair121
movie131634	ex:featuresStrongCastPair	castPair119
movie131634	ex:featuresStrongCastPair	castPair122
movie131634	ex:featuresStrongCastPair	castPair465
movie131634	ex:featuresStrongCastPair	castPair467
movie131634	ex:featuresStrongCastPair	castPair464
movie131634	ex:featuresStrongCastPair	castPair466
movie131634	ex:featuresStrongCastPair	castPair463
movie131634	ex:featuresStrongCastPair	castPair409
movie131634	ex:featuresStrongCastPair	castPair405
movie131634	ex:featuresStrongCastPair	castPair411
movie131634	ex:featuresStrongCastPair	castPair408
movie131634	ex:featuresStrongCastPair	castPair410
movie131634	ex:featuresStrongCastPair	castPair406
movie131634	ex:featuresStrongCastPair	castPair407
movie131634	ex:featuresStrongCastPair	castPair585
movie131634	ex:featuresStrongCastPair	castPair587
movie131634	ex:featuresStrongCastPair	castPair584
movie131634	ex:featuresStrongCastPair	castPair586
movie131631	ex:featuresStrongCastPair	castPair627
movie131631	ex:featuresStrongCastPair	castPair626
movie131631	ex:featuresStrongCastPair	castPair454
movie131631	ex:featuresStrongCastPair	castPair456
movie131631	ex:featuresStrongCastPair	castPair453
movie131631	ex:featuresStrongCastPair	castPair455
movie131631	ex:featuresStrongCastPair	castPair451
movie131631	ex:featuresStrongCastPair	castPair452
movie131631	ex:featuresStrongCastPair	castPair604
movie131631	ex:featuresStrongCastPair	castPair606
movie131631	ex:featuresStrongCastPair	castPair605
movie131631	ex:featuresStrongCastPair	castPair673
movie131631	ex:featuresStrongCastPair	castPair118
movie131631	ex:featuresStrongCastPair	castPair124
movie131631	ex:featuresStrongCastPair	castPair120
movie131631	ex:featuresStrongCastPair	castPair126
movie131631	ex:featuresStrongCastPair	castPair123
movie131631	ex:featuresStrongCastPair	castPair125
movie131631	ex:featuresStrongCastPair	castPair121
movie131631	ex:featuresStrongCastPair	castPair119
movie131631	ex:featuresStrongCastPair	castPair122
movie131631	ex:featuresStrongCastPair	castPair465
movie131631	ex:featuresStrongCastPair	castPair467
movie131631	ex:featuresStrongCastPair	castPair464
movie131631	ex:featuresStrongCastPair	castPair466
movie131631	ex:featuresStrongCastPair	castPair463
movie131631	ex:featuresStrongCastPair	castPair409
movie131631	ex:featuresStrongCastPair	castPair405
movie131631	ex:featuresStrongCastPair	castPair411
movie131631	ex:featuresStrongCastPair	castPair408
movie131631	ex:featuresStrongCastPair	castPair410
