subject	predicate	object
person1023139	ex:strongCastWith	person1315036
person1023139	ex:strongCastWith	person2
person1023139	ex:strongCastWith	person236695
person1023139	ex:strongCastWith	person25072
person1023139	ex:strongCastWith	person4
person1023139	ex:strongCastWith	person93210
person103	ex:strongCastWith	person1245
person103	ex:strongCastWith	person16828
person103	ex:strongCastWith	person17604
person103	ex:strongCastWith	person1896
person103	ex:strongCastWith	person3223
person103	ex:strongCastWith	person71580
person103	ex:strongCastWith	person74568
person1062	ex:strongCastWith	person1063
person1062	ex:strongCastWith	person1065
person1062	ex:strongCastWith	person521
person1063	ex:strongCastWith	person1065
person1063	ex:strongCastWith	person521
person1064	ex:strongCastWith	person85
person1065	ex:strongCastWith	person521
person10713	ex:strongCastWith	person8930
person10859	ex:strongCastWith	person1109702
person10859	ex:strongCastWith	person122750
person10859	ex:strongCastWith	person54882
person109	ex:strongCastWith	person110
person109	ex:strongCastWith	person1327
person109	ex:strongCastWith	person1328
person109	ex:strongCastWith	person1330
person10980	ex:strongCastWith	person10989
person10980	ex:strongCastWith	person10990
person10980	ex:strongCastWith	person10993
person10980	ex:strongCastWith	person1283
person10980	ex:strongCastWith	person1923
person10980	ex:strongCastWith	person4566
person10980	ex:strongCastWith	person5469
person10980	ex:strongCastWith	person5658
person10989	ex:strongCastWith	person10990
person10989	ex:strongCastWith	person10993
person10989	ex:strongCastWith	person1283
person10989	ex:strongCastWith	person1923
person10989	ex:strongCastWith	person4566
person10989	ex:strongCastWith	person5469
person10989	ex:strongCastWith	person5658
person10990	ex:strongCastWith	person10993
person10990	ex:strongCastWith	person1283
person10990	ex:strongCastWith	person1923
person10990	ex:strongCastWith	person4566
person10990	ex:strongCastWith	person5469
person10990	ex:strongCastWith	person5658
person10993	ex:strongCastWith	person1923
person10993	ex:strongCastWith	person4566
person110	ex:strongCastWith	person1327
person110	ex:strongCastWith	person1328
person110	ex:strongCastWith	person1330
person1100	ex:strongCastWith	person2716
person11006	ex:strongCastWith	person110742
person11006	ex:strongCastWith	person115974
person11006	ex:strongCastWith	person206
person11006	ex:strongCastWith	person208677
person11006	ex:strongCastWith	person222121
person110742	ex:strongCastWith	person115974
person110742	ex:strongCastWith	person206
person110742	ex:strongCastWith	person208677
person110742	ex:strongCastWith	person222121
person11356	ex:strongCastWith	person1304661
person11356	ex:strongCastWith	person1304662
person11356	ex:strongCastWith	person17064
person11356	ex:strongCastWith	person19923
person11356	ex:strongCastWith	person477
person1136406	ex:strongCastWith	person15277
person1136406	ex:strongCastWith	person1649152
person1136406	ex:strongCastWith	person505710
person114	ex:strongCastWith	person116
person114	ex:strongCastWith	person1327
person114	ex:strongCastWith	person1709
person114	ex:strongCastWith	person1710
person114	ex:strongCastWith	person1711
person114	ex:strongCastWith	person378
person114	ex:strongCastWith	person85
person11514	ex:strongCastWith	person1920
person115974	ex:strongCastWith	person206
person115974	ex:strongCastWith	person208677
person115974	ex:strongCastWith	person222121
person116	ex:strongCastWith	person1709
person116	ex:strongCastWith	person1710
person116	ex:strongCastWith	person1711
person116	ex:strongCastWith	person378
person116	ex:strongCastWith	person85
person11701	ex:strongCastWith	person140
person11701	ex:strongCastWith	person18897
person11701	ex:strongCastWith	person19274
person11701	ex:strongCastWith	person212
person11701	ex:strongCastWith	person4483
person11701	ex:strongCastWith	person70851
person118	ex:strongCastWith	person2449
person118	ex:strongCastWith	person85
person119143	ex:strongCastWith	person1222060
person119143	ex:strongCastWith	person144655
person119143	ex:strongCastWith	person149894
person119143	ex:strongCastWith	person84507
person119143	ex:strongCastWith	person93803
person119143	ex:strongCastWith	person9705
person12052	ex:strongCastWith	person3223
person12073	ex:strongCastWith	person6941
person12073	ex:strongCastWith	person776
person12132	ex:strongCastWith	person16483
person1221099	ex:strongCastWith	person40325
person1221099	ex:strongCastWith	person77927
person1221099	ex:strongCastWith	person77931
person1221099	ex:strongCastWith	person83768
person1222060	ex:strongCastWith	person144655
person1222060	ex:strongCastWith	person149894
person1222060	ex:strongCastWith	person84507
person1222060	ex:strongCastWith	person93803
person1222060	ex:strongCastWith	person9705
person122750	ex:strongCastWith	person54882
person1230	ex:strongCastWith	person884
person1231	ex:strongCastWith	person1233
person1233	ex:strongCastWith	person2283
person1233	ex:strongCastWith	person27972
person1233	ex:strongCastWith	person2954
person1233	ex:strongCastWith	person55636
person1233	ex:strongCastWith	person57755
person1233	ex:strongCastWith	person72129
person1233	ex:strongCastWith	person9281
person1233	ex:strongCastWith	person96066
person1245	ex:strongCastWith	person16828
person1245	ex:strongCastWith	person16851
person1245	ex:strongCastWith	person17604
person1245	ex:strongCastWith	person1896
person1245	ex:strongCastWith	person2231
person1245	ex:strongCastWith	person3223
person1245	ex:strongCastWith	person74568
person124747	ex:strongCastWith	person4495
person126484	ex:strongCastWith	person20664
person126484	ex:strongCastWith	person215919
person126484	ex:strongCastWith	person40325
person126484	ex:strongCastWith	person77927
person126484	ex:strongCastWith	person77931
person126484	ex:strongCastWith	person77933
person126484	ex:strongCastWith	person77934
person126484	ex:strongCastWith	person83768
person126484	ex:strongCastWith	person84508
person1267329	ex:strongCastWith	person2
person1271448	ex:strongCastWith	person1271449
person1271448	ex:strongCastWith	person1937839
person1271448	ex:strongCastWith	person2244922
person1271449	ex:strongCastWith	person1937839
person1271449	ex:strongCastWith	person2244922
person1272059	ex:strongCastWith	person1339108
person1272059	ex:strongCastWith	person1471280
person1272059	ex:strongCastWith	person1874
person1272059	ex:strongCastWith	person223768
person1272059	ex:strongCastWith	person25409
person1272059	ex:strongCastWith	person912632
person1283	ex:strongCastWith	person4566
person1283	ex:strongCastWith	person5469
person1283	ex:strongCastWith	person85
person12835	ex:strongCastWith	person17647
person12835	ex:strongCastWith	person51329
person12835	ex:strongCastWith	person543261
person12835	ex:strongCastWith	person543530
person12835	ex:strongCastWith	person73457
person12835	ex:strongCastWith	person8691
person129101	ex:strongCastWith	person2975
person129101	ex:strongCastWith	person6384
person129101	ex:strongCastWith	person6972
person12949	ex:strongCastWith	person12950
person12949	ex:strongCastWith	person12951
person12949	ex:strongCastWith	person7633
person12950	ex:strongCastWith	person12951
person12950	ex:strongCastWith	person7633
person12951	ex:strongCastWith	person7633
person1303010	ex:strongCastWith	person34199
person1303010	ex:strongCastWith	person34982
person1303010	ex:strongCastWith	person34983
person1303010	ex:strongCastWith	person35109
person1303010	ex:strongCastWith	person35224
person1303010	ex:strongCastWith	person43125
person1303010	ex:strongCastWith	person44052
person1303010	ex:strongCastWith	person9601
person1304661	ex:strongCastWith	person1304662
person1304661	ex:strongCastWith	person17064
person1304661	ex:strongCastWith	person19923
person1304661	ex:strongCastWith	person477
person1304662	ex:strongCastWith	person17064
person1304662	ex:strongCastWith	person19923
person1304662	ex:strongCastWith	person477
person1315036	ex:strongCastWith	person2
person1315036	ex:strongCastWith	person236695
person1315036	ex:strongCastWith	person25072
person1315036	ex:strongCastWith	person4
person1315036	ex:strongCastWith	person93210
person132157	ex:strongCastWith	person37632
person132157	ex:strongCastWith	person58873
person132157	ex:strongCastWith	person77795
person132157	ex:strongCastWith	person998225
person1327	ex:strongCastWith	person1328
person1327	ex:strongCastWith	person1330
person1327	ex:strongCastWith	person25136
person1327	ex:strongCastWith	person30315
person1327	ex:strongCastWith	person7060
person1328	ex:strongCastWith	person1330
person1331	ex:strongCastWith	person2975
person1331	ex:strongCastWith	person530
person1331	ex:strongCastWith	person6384
person1333	ex:strongCastWith	person236696
person1333	ex:strongCastWith	person58395
person1339108	ex:strongCastWith	person1471280
person1339108	ex:strongCastWith	person1874
person1339108	ex:strongCastWith	person223768
person1339108	ex:strongCastWith	person25409
person1339108	ex:strongCastWith	person912632
person139	ex:strongCastWith	person141
person139	ex:strongCastWith	person147
person139	ex:strongCastWith	person240171
person139	ex:strongCastWith	person2535
person139	ex:strongCastWith	person589
person140	ex:strongCastWith	person18897
person140	ex:strongCastWith	person19274
person140	ex:strongCastWith	person212
person140	ex:strongCastWith	person4483
person140	ex:strongCastWith	person70851
person141	ex:strongCastWith	person147
person141	ex:strongCastWith	person240171
person141	ex:strongCastWith	person2535
person141	ex:strongCastWith	person589
person14409	ex:strongCastWith	person2632
person14409	ex:strongCastWith	person28637
person14409	ex:strongCastWith	person5726
person14409	ex:strongCastWith	person6730
person14409	ex:strongCastWith	person7399
person14409	ex:strongCastWith	person9575
person144655	ex:strongCastWith	person149894
person144655	ex:strongCastWith	person84507
person144655	ex:strongCastWith	person93803
person144655	ex:strongCastWith	person9705
person14592	ex:strongCastWith	person18997
person14592	ex:strongCastWith	person4785
person14592	ex:strongCastWith	person73457
person147	ex:strongCastWith	person240171
person147	ex:strongCastWith	person2535
person147	ex:strongCastWith	person589
person1471280	ex:strongCastWith	person1874
person1471280	ex:strongCastWith	person223768
person1471280	ex:strongCastWith	person25409
person1471280	ex:strongCastWith	person912632
person149894	ex:strongCastWith	person84507
person149894	ex:strongCastWith	person93803
person149894	ex:strongCastWith	person9705
person15100	ex:strongCastWith	person18980
person15100	ex:strongCastWith	person23679
person15100	ex:strongCastWith	person31531
person15100	ex:strongCastWith	person31549
person15100	ex:strongCastWith	person34521
person15100	ex:strongCastWith	person34983
person15100	ex:strongCastWith	person52794
person15277	ex:strongCastWith	person1649152
person15277	ex:strongCastWith	person505710
person1532	ex:strongCastWith	person17881
person1532	ex:strongCastWith	person4785
person1532	ex:strongCastWith	person5293
person1532	ex:strongCastWith	person819
person1532	ex:strongCastWith	person887
person15757	ex:strongCastWith	person15758
person15757	ex:strongCastWith	person15760
person15757	ex:strongCastWith	person5723
person15757	ex:strongCastWith	person5724
person15757	ex:strongCastWith	person57599
person15758	ex:strongCastWith	person15760
person15758	ex:strongCastWith	person5723
person15758	ex:strongCastWith	person5724
person15758	ex:strongCastWith	person57599
person15760	ex:strongCastWith	person5723
person15760	ex:strongCastWith	person5724
person15760	ex:strongCastWith	person57599
person1649152	ex:strongCastWith	person505710
person16828	ex:strongCastWith	person17604
person16828	ex:strongCastWith	person1896
person16828	ex:strongCastWith	person2231
person16828	ex:strongCastWith	person3223
person16828	ex:strongCastWith	person60898
person16828	ex:strongCastWith	person74568
person16940	ex:strongCastWith	person73968
person16940	ex:strongCastWith	person880
person16940	ex:strongCastWith	person90633
person16940	ex:strongCastWith	person9273
person17051	ex:strongCastWith	person18998
person17051	ex:strongCastWith	person18999
person17051	ex:strongCastWith	person19274
person17051	ex:strongCastWith	person205
person17051	ex:strongCastWith	person2219
person17064	ex:strongCastWith	person19923
person17064	ex:strongCastWith	person477
person17067	ex:strongCastWith	person25409
person17067	ex:strongCastWith	person912632
person1709	ex:strongCastWith	person1710
person1709	ex:strongCastWith	person1711
person1709	ex:strongCastWith	person378
person1709	ex:strongCastWith	person85
person1710	ex:strongCastWith	person1711
person1710	ex:strongCastWith	person378
person1710	ex:strongCastWith	person85
person1711	ex:strongCastWith	person378
person1711	ex:strongCastWith	person85
person17276	ex:strongCastWith	person21007
person17276	ex:strongCastWith	person24264
person17276	ex:strongCastWith	person41091
person17276	ex:strongCastWith	person449
person17276	ex:strongCastWith	person54691
person17276	ex:strongCastWith	person59174
person17414	ex:strongCastWith	person188229
person17414	ex:strongCastWith	person34398
person17414	ex:strongCastWith	person6574
person17414	ex:strongCastWith	person70615
person17414	ex:strongCastWith	person78798
person17414	ex:strongCastWith	person78799
person17604	ex:strongCastWith	person1896
person17604	ex:strongCastWith	person3223
person17604	ex:strongCastWith	person74568
person17605	ex:strongCastWith	person4173
person17605	ex:strongCastWith	person524
person17605	ex:strongCastWith	person74568
person17605	ex:strongCastWith	person91606
person18072	ex:strongCastWith	person37034
person18072	ex:strongCastWith	person37035
person18072	ex:strongCastWith	person5012
person1874	ex:strongCastWith	person223768
person1874	ex:strongCastWith	person25409
person1874	ex:strongCastWith	person912632
person188229	ex:strongCastWith	person34398
person188229	ex:strongCastWith	person6574
person188229	ex:strongCastWith	person70615
person188229	ex:strongCastWith	person78798
person188229	ex:strongCastWith	person78799
person18897	ex:strongCastWith	person19274
person18897	ex:strongCastWith	person212
person18897	ex:strongCastWith	person4483
person18897	ex:strongCastWith	person70851
person1896	ex:strongCastWith	person3223
person1896	ex:strongCastWith	person74568
person18980	ex:strongCastWith	person23679
person18980	ex:strongCastWith	person31531
person18980	ex:strongCastWith	person31549
person18980	ex:strongCastWith	person34521
person18980	ex:strongCastWith	person34983
person18980	ex:strongCastWith	person52794
person18997	ex:strongCastWith	person73457
person18998	ex:strongCastWith	person18999
person18998	ex:strongCastWith	person205
person18998	ex:strongCastWith	person2219
person18999	ex:strongCastWith	person205
person18999	ex:strongCastWith	person2219
person192	ex:strongCastWith	person3895
person1923	ex:strongCastWith	person4566
person1923	ex:strongCastWith	person5658
person19274	ex:strongCastWith	person212
person19274	ex:strongCastWith	person22226
