candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,tmdb_url,overview,genres,runtime,vote_average,poster_url,media_type,director,actors,characters,origin_country,original_language,popularity,production_companies,production_countries,spoken_languages,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score,final_norm,s_gnn,s_gnn_norm,score_ensemble
2661,Batman,1966.0,0.1461,0.4507,0.2679,21 Jump Street,1.0,0.0606,0.0,0.0,0.9912,1.0,0.8997,0.8805,https://www.themoviedb.org/movie/2661,The Dynamic Duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,"['Action:https://www.themoviedb.org/genre/28', 'Comedy:https://www.themoviedb.org/genre/35', 'Crime:https://www.themoviedb.org/genre/80']",105,6.4,https://image.tmdb.org/t/p/original/zzoPxWHnPa0eyfkMLgwbNvdEcVF.jpg,movie,['Leslie H. Martinson:http://www.themoviedb.org/person/27728'],"['Adam West:http://www.themoviedb.org/person/26847', 'Burt Ward:http://www.themoviedb.org/person/35192', 'Lee Meriwether:http://www.themoviedb.org/person/16108', 'Cesar Romero:http://www.themoviedb.org/person/4355', 'Burgess Meredith:http://www.themoviedb.org/person/16523', 'Frank Gorshin:http://www.themoviedb.org/person/291', 'Alan Napier:http://www.themoviedb.org/person/6933', 'Neil Hamilton:http://www.themoviedb.org/person/27733', 'Stafford Repp:http://www.themoviedb.org/person/27734', 'Madge Blake:http://www.themoviedb.org/person/43824']","['Batman (Bruce Wayne)', 'Robin (Dick Grayson)', 'The Catwoman (Kitka)', 'The Joker', 'The Penguin', 'The Riddler', 'Alfred', 'Commissioner Gordon', ""Chief O'Hara"", 'Aunt Harriet Cooper']",['US'],en,3.7557,"['William Dozier Productions:https://www.themoviedb.org/company/1188:', '20th Century Fox:https://www.themoviedb.org/company/25:US', 'Greenlawn Productions:https://www.themoviedb.org/company/1189:']",['United States of America:US'],['English:en'],batman,1966.0,"['Action', 'Comedy', 'Crime']",['Leslie H. Martinson'],False,True,False,False,False,1,0.0,14.623222351074219,0.0,0.0
1272,Sunshine,2007.0,0.0,0.5124,0.2049,28 Days Later,0.6667,0.0244,0.0303,1.0,0.9802,1.0,0.7837,0.9312,https://www.themoviedb.org/movie/1272,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.","['Science Fiction:https://www.themoviedb.org/genre/878', 'Thriller:https://www.themoviedb.org/genre/53']",107,7.0,https://image.tmdb.org/t/p/original/8kX6xmEwz0RpEJkeWjXTkxbOCAp.jpg,movie,['Danny Boyle:http://www.themoviedb.org/person/2034'],"['Cillian Murphy:http://www.themoviedb.org/person/2037', 'Rose Byrne:http://www.themoviedb.org/person/9827', 'Chris Evans:http://www.themoviedb.org/person/16828', 'Michelle Yeoh:http://www.themoviedb.org/person/1620', 'Cliff Curtis:http://www.themoviedb.org/person/7248', 'Hiroyuki Sanada:http://www.themoviedb.org/person/9195', 'Troy Garity:http://www.themoviedb.org/person/31711', 'Benedict Wong:http://www.themoviedb.org/person/30082', 'Mark Strong:http://www.themoviedb.org/person/2983', 'Paloma Baeza:http://www.themoviedb.org/person/24618']","['Capa', 'Cassie', 'Mace', 'Corazon', 'Searle', 'Kaneda', 'Harvey', 'Trey', 'Pinbacker', ""Capa's Sister""]",['GB'],en,5.0818,"['Ingenious Media:https://www.themoviedb.org/company/290:GB', 'Moving Picture Company:https://www.themoviedb.org/company/20478:GB', 'UK Film Council:https://www.themoviedb.org/company/2452:GB', 'DNA Films:https://www.themoviedb.org/company/284:GB']",['United Kingdom:GB'],['English:en'],sunshine,2007.0,"['Science Fiction', 'Thriller']",['Danny Boyle'],True,True,False,False,False,3,0.0,14.623222351074219,0.0,0.0
2665,Airplane II: The Sequel,1982.0,0.0,0.4854,0.1942,Airplane!,1.0,0.0938,0.1765,0.0,0.995,1.0,0.9344,0.6985,https://www.themoviedb.org/movie/2665,"A faulty computer causes a passenger space shuttle to head straight for the sun, and man-with-a-past Ted Striker must save the day and get the shuttle back on track – again – all the while trying to patch up his relationship with Elaine.",['Comedy:https://www.themoviedb.org/genre/35'],85,6.099,https://image.tmdb.org/t/p/original/zs7Pjyabt0fwe2XqIx0gnF9Q4np.jpg,movie,['Ken Finkleman:http://www.themoviedb.org/person/27746'],"['Lloyd Bridges:http://www.themoviedb.org/person/2177', 'Raymond Burr:http://www.themoviedb.org/person/7685', 'Chuck Connors:http://www.themoviedb.org/person/27747', 'Rip Torn:http://www.themoviedb.org/person/9626', 'John Dehner:http://www.themoviedb.org/person/82863', 'Chad Everett:http://www.themoviedb.org/person/15013', 'Peter Graves:http://www.themoviedb.org/person/9111', 'Julie Hagerty:http://www.themoviedb.org/person/14415', 'Robert Hays:http://www.themoviedb.org/person/14416', 'Kent McCord:http://www.themoviedb.org/person/2062']","['Steve McCroskey', 'Judge D.C. Simonton', 'The Sarge', 'Bud Kruger / President Reagan', 'The Commissioner', 'Simon Kurtz', 'Capt. Clarence Oveur', 'Elaine Dickinson', 'Ted Striker', 'Dave Unger']",['US'],en,5.8696,['Paramount Pictures:https://www.themoviedb.org/company/4:US'],['United States of America:US'],['English:en'],airplane ii: the sequel,1982.0,['Comedy'],['Ken Finkleman'],False,True,False,False,False,1,0.0,-14.48709774017334,0.0,0.0
10144,The Little Mermaid,1989.0,0.0,0.5216,0.2086,Aladdin,0.6,0.125,0.0256,1.0,0.956,1.0,0.9617,0.9115,https://www.themoviedb.org/movie/10144,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,"['Animation:https://www.themoviedb.org/genre/16', 'Family:https://www.themoviedb.org/genre/10751', 'Fantasy:https://www.themoviedb.org/genre/14']",83,7.349,https://image.tmdb.org/t/p/original/plcZXvI310FkbwIptvd6rqk63LP.jpg,movie,"['Ron Clements:http://www.themoviedb.org/person/15810', 'John Musker:http://www.themoviedb.org/person/15811']","['Jodi Benson:http://www.themoviedb.org/person/63978', 'Samuel E. Wright:http://www.themoviedb.org/person/67392', 'Pat Carroll:http://www.themoviedb.org/person/35232', 'Christopher Daniel Barnes:http://www.themoviedb.org/person/31468', 'Kenneth Mars:http://www.themoviedb.org/person/9601', 'Buddy Hackett:http://www.themoviedb.org/person/67393', 'Jason Marin:http://www.themoviedb.org/person/184030', 'René Auberjonois:http://www.themoviedb.org/person/9807', 'Paddi Edwards:http://www.themoviedb.org/person/157660', 'Ben Wright:http://www.themoviedb.org/person/71781']","['Ariel / Vanessa (voice)', 'Sebastian (voice)', 'Ursula (voice)', 'Prince Eric (voice)', 'King Triton (voice)', 'Scuttle (voice)', 'Flounder (voice)', 'Louis (voice)', 'Flotsam & Jetsam (voice)', 'Grimsby (voice)']",['US'],en,10.5986,"['Walt Disney Pictures:https://www.themoviedb.org/company/2:US', 'Silver Screen Partners IV:https://www.themoviedb.org/company/10282:US', 'Walt Disney Feature Animation:https://www.themoviedb.org/company/171656:US']",['United States of America:US'],"['English:en', 'French:fr']",the little mermaid,1989.0,"['Animation', 'Family', 'Fantasy']","['Ron Clements', 'John Musker']",False,True,False,False,False,1,0.0,-14.48709774017334,0.0,0.0
9451,Election,1999.0,0.0,0.4522,0.1809,Alex Strangelove,1.0,0.0345,0.0,0.0,0.9912,1.0,0.9877,0.9267,https://www.themoviedb.org/movie/9451,"Tracy Flick is running unopposed for this year’s high school student election. But Jim McAllister has a different plan. Partly to establish a more democratic election, and partly to satisfy some deep personal anger toward Tracy, Jim talks football player Paul Metzler to run for president as well.","['Comedy:https://www.themoviedb.org/genre/35', 'Drama:https://www.themoviedb.org/genre/18']",103,6.869,https://image.tmdb.org/t/p/original/5gPOFU6IPvDrx50XaPCK4twNw79.jpg,movie,['Alexander Payne:http://www.themoviedb.org/person/13235'],"['Matthew Broderick:http://www.themoviedb.org/person/4756', 'Reese Witherspoon:http://www.themoviedb.org/person/368', 'Chris Klein:http://www.themoviedb.org/person/21594', 'Jessica Campbell:http://www.themoviedb.org/person/58032', 'Mark Harelik:http://www.themoviedb.org/person/88949', 'Phil Reeves:http://www.themoviedb.org/person/58741', 'Molly Hagan:http://www.themoviedb.org/person/58045', 'Delaney Driscoll:http://www.themoviedb.org/person/996758', 'Colleen Camp:http://www.themoviedb.org/person/13023', 'Frankie Ingrassia:http://www.themoviedb.org/person/1015780']","['Jim McAllister', 'Tracy Enid Flick', 'Paul Metzler', 'Tammy Metzler', 'Dave Novotny', 'Walt Hendricks', 'Diane McAllister', 'Linda Novotny', 'Judith R. Flick', 'Lisa Flanagan']",['US'],en,3.4539,"['Paramount Pictures:https://www.themoviedb.org/company/4:US', 'MTV Films:https://www.themoviedb.org/company/746:US', 'Bona Fide Productions:https://www.themoviedb.org/company/715:US']",['United States of America:US'],"['English:en', 'Spanish:es']",election,1999.0,"['Comedy', 'Drama']",['Alexander Payne'],False,True,False,False,False,1,0.21999995600001213,-14.48709774017334,0.0,0.08799998240000485
1546,Thumbsucker,2005.0,0.0,0.4532,0.1813,Alex Strangelove,1.0,0.0476,0.0,0.0,0.995,1.0,0.9843,0.8947,https://www.themoviedb.org/movie/1546,"Justin Cobb, a teenager in suburban Oregon, copes with his thumb-sucking problem, romance, and his diagnosis with ADHD and subsequent experience using Ritalin.","['Comedy:https://www.themoviedb.org/genre/35', 'Drama:https://www.themoviedb.org/genre/18']",96,6.2,https://image.tmdb.org/t/p/original/kXC029FtR06qkT8S6zBQ26uJczu.jpg,movie,['Mike Mills:http://www.themoviedb.org/person/17439'],"['Lou Taylor Pucci:http://www.themoviedb.org/person/17441', 'Tilda Swinton:http://www.themoviedb.org/person/3063', ""Vincent D'Onofrio:http://www.themoviedb.org/person/7132"", 'Keanu Reeves:http://www.themoviedb.org/person/6384', 'Benjamin Bratt:http://www.themoviedb.org/person/4589', 'Kelli Garner:http://www.themoviedb.org/person/17442', 'Chase Offerle:http://www.themoviedb.org/person/17443', 'Vince Vaughn:http://www.themoviedb.org/person/4937', 'Bob Stephenson:http://www.themoviedb.org/person/17449', ""Nancy O'Dell:http://www.themoviedb.org/person/127130""]","['Justin Cobb', 'Audrey Cobb', 'Mike Cobb', 'Perry', 'Matt Schramm', 'Rebecca', 'Joel Cobb', 'Mr. Geary', 'Debate Official', 'Self']",['US'],en,1.1308,"['This is that:https://www.themoviedb.org/company/10059:US', 'Cinema-Go-Go:https://www.themoviedb.org/company/211243:', ""Bull's Eye Entertainment:https://www.themoviedb.org/company/25432:"", 'Bob Yari Productions:https://www.themoviedb.org/company/12260:US']",['United States of America:US'],['English:en'],thumbsucker,2005.0,"['Comedy', 'Drama']",['Mike Mills'],False,True,False,False,False,1,0.29999994000001196,-14.48709774017334,0.0,0.11999997600000478
11004,Wonder Boys,2000.0,0.0,0.4495,0.1798,Alex Strangelove,1.0,0.0333,0.0,0.0,0.9231,1.0,0.9893,0.9438,https://www.themoviedb.org/movie/11004,Grady is a 50-ish English professor who hasn't had a thing published in years—not since he wrote his award winning 'Great American Novel' 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.,"['Comedy:https://www.themoviedb.org/genre/35', 'Drama:https://www.themoviedb.org/genre/18']",111,6.8,https://image.tmdb.org/t/p/original/nbx2UAY1gtxFR3MIkGcm9LA5DFq.jpg,movie,['Curtis Hanson:http://www.themoviedb.org/person/323'],"['Michael Douglas:http://www.themoviedb.org/person/3392', 'Tobey Maguire:http://www.themoviedb.org/person/2219', 'Frances McDormand:http://www.themoviedb.org/person/3910', 'Robert Downey Jr.:http://www.themoviedb.org/person/3223', 'Katie Holmes:http://www.themoviedb.org/person/3897', 'Rip Torn:http://www.themoviedb.org/person/9626', 'Richard Knox:http://www.themoviedb.org/person/3058923', 'Jane Adams:http://www.themoviedb.org/person/209', 'Michael Cavadias:http://www.themoviedb.org/person/1188782', 'Richard Thomas:http://www.themoviedb.org/person/19576']","['Grady Tripp', 'James Leer', 'Sara Gaskell', 'Terry Crabtree', 'Hannah Green', 'Q', 'Vernon Hardapple', 'Oola', 'Miss Sloviak', 'Walter Gaskell']",['US'],en,1.4256,"['Paramount Pictures:https://www.themoviedb.org/company/4:US', 'Mutual Film Company:https://www.themoviedb.org/company/762:US', 'Scott Rudin Productions:https://www.themoviedb.org/company/258:US', 'Curtis Hanson Productions:https://www.themoviedb.org/company/8877:', 'BBC:https://www.themoviedb.org/company/3324:GB', 'Marubeni:https://www.themoviedb.org/company/4650:JP', 'TOHO-TOWA:https://www.themoviedb.org/company/657:JP', 'Tele München:https://www.themoviedb.org/company/1469:DE', 'MFF Feature Film Productions:https://www.themoviedb.org/company/8878:DE']","['Germany:DE', 'Japan:JP', 'United Kingdom:GB', 'United States of America:US']",['English:en'],wonder boys,2000.0,"['Comedy', 'Drama']",['Curtis Hanson'],False,True,False,False,False,1,0.0,-14.48709774017334,0.0,0.0
25350,Imaginary Heroes,2004.0,0.0,0.4619,0.1848,Alex Strangelove,1.0,0.0833,0.0,0.0,0.9231,1.0,0.9942,0.988,https://www.themoviedb.org/movie/25350,"Matt Travis is good-looking, popular, and his school's best competitive swimmer, so everyone is shocked when he inexplicably commits suicide. As the following year unfolds, each member of his family struggles to recover from the tragedy with mixed results.","['Comedy:https://www.themoviedb.org/genre/35', 'Drama:https://www.themoviedb.org/genre/18']",111,6.5,https://image.tmdb.org/t/p/original/tHMgJGkovOFpHi2lnQ9xTrIaR7N.jpg,movie,['Dan Harris:http://www.themoviedb.org/person/11013'],"['Sigourney Weaver:http://www.themoviedb.org/person/10205', 'Emile Hirsch:http://www.themoviedb.org/person/46593', 'Jeff Daniels:http://www.themoviedb.org/person/8447', 'Michelle Williams:http://www.themoviedb.org/person/1812', 'Kip Pardue:http://www.themoviedb.org/person/65561', ""Deirdre O'Connell:http://www.themoviedb.org/person/77013"", 'Ryan Donowho:http://www.themoviedb.org/person/4442', 'Suzanne Santo:http://www.themoviedb.org/person/1212245', 'Jay Paulson:http://www.themoviedb.org/person/88597', 'Luke Robertson:http://www.themoviedb.org/person/176822']","['Sandy Travis', 'Tim Travis', 'Ben Travis', 'Penny Travis', 'Matt Travis', 'Marge Dwyer', 'Kyle Dwyer', 'Steph Connors', 'Vern', 'Jack Johnson']",['US'],en,1.8051,"['ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I):https://www.themoviedb.org/company/19951:DE', 'QI Quality International GmbH & Co. KG:https://www.themoviedb.org/company/19952:', 'Signature Pictures:https://www.themoviedb.org/company/2982:US', 'Linson Entertainment:https://www.themoviedb.org/company/4700:US']","['Belgium:BE', 'Germany:DE', 'United States of America:US']",['English:en'],imaginary heroes,2004.0,"['Comedy', 'Drama']",['Dan Harris'],False,True,False,False,False,1,0.99999980000004,-14.48709774017334,0.0,0.399999920000016
10115,Stick It,2006.0,0.0,0.4583,0.1833,Alex Strangelove,1.0,0.0625,0.0,0.0,0.9802,1.0,0.9971,0.938,https://www.themoviedb.org/movie/10115,"Haley is a naturally gifted athlete but, with her social behavior, the teen seems intent on squandering her abilities. After a final brush with the law, a judge sentences her to an elite gymnastics academy run by a legendary, hard-nosed coach. Once there, Haley's rebellious attitude wins her both friends and enemies.","['Comedy:https://www.themoviedb.org/genre/35', 'Drama:https://www.themoviedb.org/genre/18']",105,6.8,https://image.tmdb.org/t/p/original/uMcylxIC7nBpBd8Uf6Apr4MJ1pf.jpg,movie,['Jessica Bendinger:http://www.themoviedb.org/person/53014'],"['Jeff Bridges:http://www.themoviedb.org/person/1229', 'Missy Peregrym:http://www.themoviedb.org/person/34434', 'Vanessa Lengies:http://www.themoviedb.org/person/52938', 'Jon Gries:http://www.themoviedb.org/person/9629', 'Gia Carides:http://www.themoviedb.org/person/14226', 'Julie Warner:http://www.themoviedb.org/person/63681', 'Maddy Curley:http://www.themoviedb.org/person/63677', 'Kellan Lutz:http://www.themoviedb.org/person/34502', 'Svetlana Efremova:http://www.themoviedb.org/person/63679', 'Tarah Paige:http://www.themoviedb.org/person/63680']","['Burt Vickerman', 'Haley Graham', 'Joanne Charis', 'Brice Graham', 'Alice Graham', 'Mrs. Charis', 'Mina Hoyt', 'Frank', 'Dorrie', 'Tricia Skilken']",['US'],en,1.9957,"['Kaltenbach Pictures:https://www.themoviedb.org/company/62367:', 'Spyglass Entertainment:https://www.themoviedb.org/company/158:US', 'Touchstone Pictures:https://www.themoviedb.org/company/9195:US']","['Germany:DE', 'United States of America:US']",['English:en'],stick it,2006.0,"['Comedy', 'Drama']",['Jessica Bendinger'],False,True,False,False,False,1,0.699999860000028,-14.48709774017334,0.0,0.2799999440000112
11954,Lifeforce,1985.0,0.0,0.4486,0.1794,Alien Resurrection,1.0,0.04,0.0,0.0,0.9731,1.0,0.857,0.981,https://www.themoviedb.org/movie/11954,A space shuttle mission investigating Halley's Comet brings back a malevolent race of space vampires who transform most of London's population into zombies. The only survivor of the expedition and British authorities attempt to capture a mysterious but beautiful alien woman who appears responsible.,"['Horror:https://www.themoviedb.org/genre/27', 'Science Fiction:https://www.themoviedb.org/genre/878', 'Action:https://www.themoviedb.org/genre/28']",102,6.2,https://image.tmdb.org/t/p/original/urGWv3bB1V4aJHaC6ephmUTlqNF.jpg,movie,['Tobe Hooper:http://www.themoviedb.org/person/10051'],"['Steve Railsback:http://www.themoviedb.org/person/52023', 'Peter Firth:http://www.themoviedb.org/person/22109', 'Frank Finlay:http://www.themoviedb.org/person/6637', 'Mathilda May:http://www.themoviedb.org/person/44233', 'Patrick Stewart:http://www.themoviedb.org/person/2387', 'Michael Gothard:http://www.themoviedb.org/person/10505', 'Nicholas Ball:http://www.themoviedb.org/person/26707', 'Aubrey Morris:http://www.themoviedb.org/person/2278', 'Nancy Paul:http://www.themoviedb.org/person/172568', 'John Hallam:http://www.themoviedb.org/person/12690']","['Col. Tom Carlsen', 'Col. Colin Caine', 'Dr. Hans Fallada', 'Space Girl', 'Dr. Armstrong', 'Dr. Bukovsky', 'Roger Derebridge', 'Sir Percy Heseltine', 'Ellen Donaldson', 'Lamson']","['US', 'GB']",en,6.7863,"['Golan-Globus Productions:https://www.themoviedb.org/company/13549:US', 'Easedram:https://www.themoviedb.org/company/21896:', 'London-Cannon Films:https://www.themoviedb.org/company/6231:GB', 'The Cannon Group:https://www.themoviedb.org/company/1444:US']",['United Kingdom:GB'],['English:en'],lifeforce,1985.0,"['Horror', 'Science Fiction', 'Action']",['Tobe Hooper'],False,True,False,False,False,1,0.0,-14.48709774017334,0.0,0.0
