candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score
29437,Rabid,1977.0,0.0,0.6046,0.2418,Crimes of the Future,1.0,0.0909,0.0,1.0,0.8674,1.0,0.9357,0.9255,rabid,1977,[],[],True,False,False,False,False,2
9493,Twins,1988.0,0.0,0.4727,0.1891,Ghostbusters II,0.5,0.0286,0.0,1.0,0.9994,1.0,0.9785,0.8618,twins,1988,[],[],True,False,False,False,False,2
838330,Not Okay,2022.0,0.0,0.4606,0.1843,The Meyerowitz Stories (New and Selected),1.0,0.0769,0.0,0.0,0.956,1.0,0.9909,0.958,not okay,2022,[],[],True,False,False,False,False,2
466420,Killers of the Flower Moon,2023.0,0.0,0.4601,0.184,The Wolf of Wall Street,0.5,0.0435,0.0256,1.0,0.6869,1.0,0.8918,0.8467,killers of the flower moon,2023,[],[],True,False,False,False,False,2
3146,The War of the Gargantuas,1966.0,0.0,0.5059,0.2024,Godzilla,0.5,0.1429,0.1111,1.0,0.9651,1.0,0.9606,0.6765,the war of the gargantuas,1966,[],[],True,False,False,False,False,2
926,Galaxy Quest,1999.0,0.0,0.4594,0.1838,Back to the Future Part II,1.0,0.1111,0.0,0.0,0.9731,1.0,0.9462,0.824,galaxy quest,1999,[],[],True,False,False,False,False,2
975,Paths of Glory,1957.0,0.0,0.589,0.2356,Full Metal Jacket,1.0,0.0755,0.0,1.0,0.6267,1.0,0.8863,0.966,paths of glory,1957,[],[],True,False,False,False,False,2
951,Kindergarten Cop,1990.0,0.0,0.4647,0.1859,Ghostbusters II,0.5,0.0,0.0,1.0,0.995,1.0,0.9168,0.8812,kindergarten cop,1990,[],[],True,False,False,False,False,2
30018,Mother,2009.0,0.0494,0.3913,0.1862,The Host,0.2,0.0,0.0256,1.0,0.956,1.0,0.9499,0.8173,mother,2009,[],[],True,False,False,False,False,2
28200,Sylvia,2003.0,0.0321,0.4167,0.186,All My Life,1.0,0.0,0.0,0.0,0.8674,1.0,0.9655,0.501,sylvia,2003,[],[],False,False,False,False,False,0
955,Mission: Impossible II,2000.0,0.0,0.4629,0.1851,Manhunt,0.75,0.0,0.0,1.0,0.8517,0.0,0.7672,0.8885,mission: impossible ii,2000,[],[],False,False,False,False,False,0
948,Halloween,1978.0,0.0,0.4631,0.1852,Prince of Darkness,0.5,0.0,0.0278,1.0,0.935,1.0,0.906,0.8095,halloween,1978,[],[],False,False,False,False,False,0
28874,Summer Wars,2009.0,0.0,0.4634,0.1854,Godzilla: City on the Edge of Battle,1.0,0.1538,0.0,0.0,0.9104,1.0,0.962,0.7802,summer wars,2009,[],[],False,False,False,False,False,0
623388,Hammer: The 'Rootin' for Regen' story,2017.0,0.0,0.4647,0.1859,All My Life,0.5,1.0,0.0,0.0,0.8183,1.0,0.9753,0.0,hammer: the 'rootin' for regen' story,2017,[],[],False,False,False,False,False,0
1924,Superman,1978.0,0.4339,0.4685,0.4477,Black Panther,1.0,0.1304,0.0,0.0,0.956,1.0,0.9456,0.9457,superman,1978,[],[],False,False,False,False,False,0
